run_no,spat_feed,diff_mort,juv-mort,time,BA
7,TRUE,TRUE,0,13,29.05758161
3,TRUE,TRUE,0,12,39.13932621
4,TRUE,TRUE,0,8,37.17622279
1,TRUE,TRUE,0,22,30.19716054
6,TRUE,TRUE,0,15,35.75684708
1,TRUE,TRUE,0,23,30.63086517
8,TRUE,TRUE,0,10,35.82021584
2,TRUE,TRUE,0,15,29.80917777
3,TRUE,TRUE,0,13,38.76097641
4,TRUE,TRUE,0,9,37.39847417
5,TRUE,TRUE,0,12,36.6537755
6,TRUE,TRUE,0,16,36.1787975
7,TRUE,TRUE,0,14,29.26511736
2,TRUE,TRUE,0,16,30.10664034
8,TRUE,TRUE,0,11,36.12499285
1,TRUE,TRUE,0,24,30.69820871
3,TRUE,TRUE,0,14,38.83980265
5,TRUE,TRUE,0,13,36.8238832
4,TRUE,TRUE,0,10,37.54371744
7,TRUE,TRUE,0,15,27.53701521
1,TRUE,TRUE,0,25,31.27715891
8,TRUE,TRUE,0,12,35.53318472
7,TRUE,TRUE,0,16,27.88139178
6,TRUE,TRUE,0,17,36.33717848
4,TRUE,TRUE,0,11,37.81095217
7,TRUE,TRUE,0,17,27.77933361
3,TRUE,TRUE,0,15,39.35033819
2,TRUE,TRUE,0,17,30.23164689
8,TRUE,TRUE,0,13,34.97990417
1,TRUE,TRUE,0,26,31.40267869
5,TRUE,TRUE,0,14,37.30622508
7,TRUE,TRUE,0,18,28.09299064
4,TRUE,TRUE,0,12,37.59713647
2,TRUE,TRUE,0,18,28.45654244
7,TRUE,TRUE,0,19,28.37733052
1,TRUE,TRUE,0,27,31.8639242
6,TRUE,TRUE,0,18,36.86148151
5,TRUE,TRUE,0,15,36.94995064
7,TRUE,TRUE,0,20,28.6174968
4,TRUE,TRUE,0,13,38.16227025
3,TRUE,TRUE,0,16,38.66017774
8,TRUE,TRUE,0,14,33.30998395
1,TRUE,TRUE,0,28,32.42960937
7,TRUE,TRUE,0,21,28.96040863
6,TRUE,TRUE,0,19,37.19650398
5,TRUE,TRUE,0,16,36.26696108
4,TRUE,TRUE,0,14,37.80437031
7,TRUE,TRUE,0,22,28.15213134
2,TRUE,TRUE,0,19,28.50210297
8,TRUE,TRUE,0,15,33.83733137
5,TRUE,TRUE,0,17,35.2833435
7,TRUE,TRUE,0,23,28.64088706
4,TRUE,TRUE,0,15,37.95604424
1,TRUE,TRUE,0,29,32.83558448
3,TRUE,TRUE,0,17,38.95118222
6,TRUE,TRUE,0,20,37.71025382
7,TRUE,TRUE,0,24,28.28314261
3,TRUE,TRUE,0,18,39.27236683
1,TRUE,TRUE,0,30,32.80181679
2,TRUE,TRUE,0,20,28.50589402
5,TRUE,TRUE,0,18,35.42976286
8,TRUE,TRUE,0,16,33.07438072
6,TRUE,TRUE,0,21,38.01648619
3,TRUE,TRUE,0,19,39.86048047
1,TRUE,TRUE,0,31,33.30188962
4,TRUE,TRUE,0,16,38.1050158
7,TRUE,TRUE,0,25,28.85624315
5,TRUE,TRUE,0,19,34.53537854
3,TRUE,TRUE,0,20,39.57351175
7,TRUE,TRUE,0,26,28.12762976
2,TRUE,TRUE,0,21,28.68234639
4,TRUE,TRUE,0,17,38.66917336
5,TRUE,TRUE,0,20,33.89104855
6,TRUE,TRUE,0,22,37.24196148
7,TRUE,TRUE,0,27,28.36233417
1,TRUE,TRUE,0,32,33.78359926
8,TRUE,TRUE,0,17,32.42331583
4,TRUE,TRUE,0,18,38.8709165
2,TRUE,TRUE,0,22,28.56051104
7,TRUE,TRUE,0,28,28.79573187
5,TRUE,TRUE,0,21,34.39576835
6,TRUE,TRUE,0,23,36.23591472
3,TRUE,TRUE,0,21,39.65186357
1,TRUE,TRUE,0,33,34.32982234
7,TRUE,TRUE,0,29,27.64685206
5,TRUE,TRUE,0,22,34.53109424
2,TRUE,TRUE,0,23,28.90586487
6,TRUE,TRUE,0,24,35.28567365
3,TRUE,TRUE,0,22,38.88841264
7,TRUE,TRUE,0,30,28.34853156
8,TRUE,TRUE,0,18,32.71624922
5,TRUE,TRUE,0,23,35.04541803
1,TRUE,TRUE,0,34,34.60041874
4,TRUE,TRUE,0,19,38.51947311
7,TRUE,TRUE,0,31,28.21919765
3,TRUE,TRUE,0,23,38.8472134
2,TRUE,TRUE,0,24,28.69204352
6,TRUE,TRUE,0,25,34.16307681
7,TRUE,TRUE,0,32,28.75880278
1,TRUE,TRUE,0,35,35.02200113
4,TRUE,TRUE,0,20,38.32534758
5,TRUE,TRUE,0,24,35.20614121
3,TRUE,TRUE,0,24,38.46354603
8,TRUE,TRUE,0,19,33.1744242
6,TRUE,TRUE,0,26,33.92001992
2,TRUE,TRUE,0,25,29.03283671
7,TRUE,TRUE,0,33,29.37300599
3,TRUE,TRUE,0,25,37.6096345
6,TRUE,TRUE,0,27,34.46714237
1,TRUE,TRUE,0,36,34.07028408
8,TRUE,TRUE,0,20,33.59494564
2,TRUE,TRUE,0,26,27.87894788
5,TRUE,TRUE,0,25,35.7255257
3,TRUE,TRUE,0,26,37.00479494
