run_no,spat_feed,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
7,TRUE,0.6,12,40.05110631,336,35.71393313,14.99414879
7,TRUE,0.6,13,39.65492699,333,35.69404851,14.9877743
7,TRUE,0.6,14,39.32089952,330,35.70573329,14.98426991
6,TRUE,0.4,47,33.39410972,368,23.00081575,16.863735
7,TRUE,0.6,15,38.51542606,322,35.77164028,15.00534438
2,TRUE,0,34,65.35630734,302,4.912731659,4.652289848
7,TRUE,0.6,16,37.7171581,318,35.64889543,14.86762214
6,TRUE,0.4,48,33.31763247,378,22.88700012,16.87286985
1,TRUE,0,36,64.88307781,296,5.042838452,4.535235418
6,TRUE,0.4,49,33.40148549,382,22.92988569,16.82818984
7,TRUE,0.6,17,37.74301823,317,35.74602275,14.82501554
7,TRUE,0.6,18,37.1337101,315,35.64009141,14.57369519
7,TRUE,0.6,19,36.7634075,312,35.63339026,14.56111266
6,TRUE,0.4,50,32.78650983,381,22.90498241,16.69081952
7,TRUE,0.6,20,36.34365818,307,35.72583334,14.56261213
7,TRUE,0.6,21,35.27084533,299,35.66138135,14.52204202
7,TRUE,0.6,22,34.87465807,297,35.63924407,14.33684054
8,TRUE,0.6,0,47.2253205,414,35.14034848,14.76105465
7,TRUE,0.6,23,34.33412735,296,35.55726798,13.90402117
8,TRUE,0.6,1,46.13173979,408,28.36159993,18.55149203
7,TRUE,0.6,24,34.20427783,292,35.75031694,13.91654577
8,TRUE,0.6,2,46.06429281,405,27.76134162,18.74515474
7,TRUE,0.6,25,33.38715322,288,35.60525429,13.73096416
8,TRUE,0.6,3,45.47736886,401,27.49862009,18.69292679
7,TRUE,0.6,26,33.2839951,286,35.69440004,13.70018685
7,TRUE,0.6,27,33.32398274,284,35.86860243,13.68011934
8,TRUE,0.6,4,45.14809953,396,27.5290002,18.65894528
7,TRUE,0.6,28,32.99914095,279,36.01621382,13.70991166
2,TRUE,0,35,66.85892371,299,5.039912144,4.63821469
8,TRUE,0.6,5,45.02113814,395,27.5962229,18.53241863
7,TRUE,0.6,29,32.59108791,275,36.07317813,13.65733326
8,TRUE,0.6,6,44.26494172,392,27.49107935,18.29993657
7,TRUE,0.6,30,32.7393886,275,36.18497225,13.60907589
1,TRUE,0,37,66.43477601,294,4.989886091,4.464921781
7,TRUE,0.6,31,32.57614398,272,36.32493226,13.55612973
8,TRUE,0.6,7,44.23561383,391,27.62403948,18.19491402
7,TRUE,0.6,32,32.42262449,269,36.44949989,13.56704851
7,TRUE,0.6,33,32.37315536,268,36.49983386,13.55127972
7,TRUE,0.6,34,32.16371681,266,36.5261719,13.53015849
7,TRUE,0.6,35,31.7656549,263,36.52005107,13.47495191
8,TRUE,0.6,8,43.95038735,388,27.7209432,18.08709103
7,TRUE,0.6,36,31.61243045,260,36.650233,13.48630261
7,TRUE,0.6,37,31.12059227,257,36.6353412,13.28498717
8,TRUE,0.6,9,43.92439554,386,27.81358067,18.04599741
7,TRUE,0.6,38,30.99308846,254,36.79800394,13.26313753
8,TRUE,0.6,10,43.31940116,381,27.78506758,17.96811893
8,TRUE,0.6,11,42.76290712,377,27.76452325,17.84868933
7,TRUE,0.6,39,30.3890277,249,36.78422494,13.29546946
8,TRUE,0.6,12,42.23018496,369,27.81407356,17.88167393
7,TRUE,0.6,40,29.89533375,246,36.72749038,13.19649548
8,TRUE,0.6,13,42.05415024,365,27.8901817,17.88532267
7,TRUE,0.6,41,29.71659761,243,36.84726639,13.21450945
7,TRUE,0.6,42,29.84893409,243,36.95639479,13.16757339
7,TRUE,0.6,43,29.914314,242,37.09672937,13.13887094
2,TRUE,0,36,68.32780621,295,5.138429869,4.611990232
7,TRUE,0.6,44,29.76547176,241,37.11263588,13.03941479
8,TRUE,0.6,14,41.39912826,360,27.88229176,17.79557265
7,TRUE,0.6,45,29.57373945,241,37.15372056,13.02552852
7,TRUE,0.6,46,29.42613824,240,37.16978589,12.92672502
8,TRUE,0.6,15,40.82325875,354,27.89488662,17.7952048
