"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_4.3.34.nlogo"
"Experiment_1"
"01/25/2016 16:03:17:535 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","spatial-feedback?","juvenile-mortality","drought-rate","[step]","sum [BA] of trees","count trees with [tree-size-t1 > 10]","mean [tree-size-t1] of trees","standard-deviation [tree-size-t1] of trees"
"4","true","0","1","0","43.819971270044405","421","33.456637372022236","14.360656998683147"
"1","true","0","1","0","44.41276729199474","420","33.6164897513843","14.719240653232433"
"4","true","0","1","1","43.78792072029115","417","32.606367591442115","15.194883420085516"
"3","true","0","1","0","43.516645761402046","420","33.73348923279787","13.473302980989748"
"2","true","0","1","0","48.31277837629256","421","35.069045891962595","15.220276272322815"
"1","true","0","1","1","44.18624243383486","418","27.66095497565907","18.06726933113378"
"4","true","0","1","2","44.01096372730653","417","32.801198975712516","15.086952638628384"
"3","true","0","1","1","42.99702399087408","416","23.95420926695915","18.405970420450377"
"2","true","0","1","1","48.14745976279923","420","26.17950669001586","19.554589116954737"
"1","true","0","1","2","43.31034122962528","411","27.449492041678823","18.00227736922299"
"2","true","0","1","2","47.57856654036821","413","26.01897502153107","19.561479138645105"
"3","true","0","1","2","43.128232544542364","413","23.844354670607423","18.42794289573355"
"4","true","0","1","3","43.882481785246426","413","32.790026171898084","15.186980213808388"
"2","true","0","1","3","47.55396633297598","410","26.094600910314906","19.540968412880083"
"3","true","0","1","3","42.69296302792578","408","23.810783896597673","18.34351681737127"
"1","true","0","1","3","42.959804778908634","406","27.442769704742133","18.003980476073192"
"4","true","0","1","4","43.36560323641706","408","32.80697037566922","15.145633124584474"
"1","true","0","1","4","42.08374829283206","399","27.220023588985978","17.848151435546647"
"4","true","0","1","5","43.05332380939524","403","32.9283643613096","15.083541537774702"
"2","true","0","1","4","47.28087983923162","405","26.09595967189927","19.52647548851574"
"3","true","0","1","4","42.231046386494484","404","23.90987146546279","18.19235353863312"
"1","true","0","1","5","41.9497055020418","395","27.219039245830924","17.871945645492037"
"2","true","0","1","5","47.33867735133016","403","26.14397439206783","19.495579094229853"
"3","true","0","1","5","42.15288668707114","399","23.933472489379316","18.199005042058516"
"4","true","0","1","6","42.78575606147502","399","33.003014051360346","15.067738863608975"
"1","true","0","1","6","41.66878387969422","390","27.133897643643856","17.920313415349447"
"2","true","0","1","6","47.12554588437469","400","26.12544217421282","19.445152058248393"
"4","true","0","1","7","42.244141316628394","395","32.99084911420196","14.961807029480035"
"3","true","0","1","6","42.06992507160902","397","23.733694493891818","18.16454769936552"
"1","true","0","1","7","41.711399629513686","388","27.304773568515564","17.86784387237669"
"4","true","0","1","8","42.17306141628282","390","33.21054205929649","14.942442217588098"
