"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_1.4.nlogo"
"Experiment_1"
"08/11/2015 15:38:19:515 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16"
"spatial-feedback?","true",,"true",,"true",,"true",,"true",,"true",,"true",,"true",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"n-trees","115",,"115",,"115",,"115",,"115",,"115",,"115",,"115",,"115",,"115",,"115",,"115",,"115",,"115",,"115",,"115",
"mean-tree-age","106",,"106",,"106",,"106",,"106",,"106",,"106",,"106",,"106",,"106",,"106",,"106",,"106",,"106",,"106",,"106",
"differential-juvenile-mortality?","true",,"true",,"true",,"true",,"false",,"false",,"false",,"false",,"true",,"true",,"true",,"true",,"false",,"false",,"false",,"false",
"juvenile-mortality","0.25",,"0.5",,"0.75",,"1",,"0.25",,"0.5",,"0.75",,"1",,"0.25",,"0.5",,"0.75",,"1",,"0.25",,"0.5",,"0.75",,"1",
"[reporter]","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees","count trees","sum [BA] of trees"
"[final]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","143","15.305438578788742","0","0","0","0","0","0"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74","8.308722391678241","0","0","0","0","0","0"
"[max]","123","26.33014952467796","118","23.066302242771272","125","23.16384833712797","122","27.14578486909096","115","24.818915577463834","118","22.81062067618472","115","24.777218721351353","115","22.033261995075573","115","30.958524351512402","119","22.88645070334788","115","27.612029467403246","126","18.819278571945187","153","22.595073374707493","120","24.35107978856536","120","27.86918611331798","115","26.9354806526324"
