"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_4.3.35.nlogo"
"Experiment_1"
"01/26/2016 16:52:00:984 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","spatial-feedback?","juvenile-mortality","drought-rate","[step]","sum [BA] of trees","count trees with [tree-size-t1 > 10]","mean [tree-size-t1] of trees","standard-deviation [tree-size-t1] of trees"
"1","true","0","1","0","45.849686140750364","416","34.32082943725491","15.024975867366692"
"2","true","0","1","0","47.62830699910837","417","34.90661361789193","15.367386407739245"
"3","true","0.2","1","0","44.540940474457294","405","34.371380035520254","14.806982480786589"
"1","true","0","1","1","45.673477902561096","413","33.78208171024535","15.50974817482675"
"4","true","0.2","1","0","48.0744827632037","402","35.82156200479325","15.487415741271947"
"3","true","0.2","1","1","44.651342712679636","403","26.928169324330703","18.89925225499322"
"4","true","0.2","1","1","47.611997438576836","398","23.46895965390224","20.40885007296073"
"2","true","0","1","1","47.602766088130416","414","29.097772833421086","18.83560197786505"
"3","true","0.2","1","2","44.40865438922234","399","25.844182548541884","19.14385652994055"
"1","true","0","1","2","45.52096026122316","409","33.32840731807499","15.920280741792558"
"4","true","0.2","1","2","47.00805656099087","394","22.130954187529834","20.273300056221217"
"3","true","0.2","1","3","44.347984063652866","395","25.234482450429294","19.29242840369981"
"2","true","0","1","2","47.48644014618978","410","28.177434196148766","19.163292525870993"
"4","true","0.2","1","3","46.72444690836988","391","20.877342888943833","20.127938996407398"
"1","true","0","1","3","44.654977152614194","403","32.62250606266865","16.270371767254048"
"3","true","0.2","1","4","44.42238573374894","394","24.81837078063907","19.32620607543884"
"2","true","0","1","3","46.967104131410984","405","26.2412672544003","19.594320179907402"
"1","true","0","1","4","44.14825434850671","398","31.970488508047488","16.632298075023765"
"4","true","0.2","1","4","46.76953630264894","388","19.773657023516044","19.98681187251066"
"3","true","0.2","1","5","44.27249480414717","392","24.04951136387986","19.351126560497455"
"1","true","0","1","5","44.277502282493295","397","31.751666533183137","16.80541773760854"
"4","true","0.2","1","5","46.862798372362114","386","18.838195023573885","19.788881054096727"
"2","true","0","1","4","46.87359870704079","402","24.54365221986475","19.869124165684955"
"3","true","0.2","1","6","43.868942329196166","388","23.489092906155285","19.329853259784873"
"1","true","0","1","6","44.4186901610779","395","31.454542556251717","17.050106306011486"
"4","true","0.2","1","6","45.40340975039831","377","17.748566434884786","19.354637780933455"
"2","true","0","1","5","46.48065305542953","399","22.82079892647036","19.90300993490382"
"3","true","0.2","1","7","43.42892253771481","383","23.077868270933966","19.31427982435324"
"1","true","0","1","7","44.034436937018334","389","30.559021407846785","17.605751444742474"
"2","true","0","1","6","45.576201074295355","396","21.019593365370653","19.57672201725365"
"3","true","0.2","1","8","42.7461955458081","378","22.196846616224647","19.21240456447238"
"1","true","0","1","8","43.312499758223865","386","29.569263076873458","17.815817440104734"
"4","true","0.2","1","7","45.354481585673845","372","17.03607645543352","19.145326955918883"
"3","true","0.2","1","9","42.71892235776552","376","21.556906534477612","19.17237648143741"
"2","true","0","1","7","45.0155753572304","394","19.492819850281247","19.260397438366393"
"1","true","0","1","9","42.94206001707212","383","28.67786483768751","18.080551784212535"
"4","true","0.2","1","8","44.85684884913139","368","16.35968214901946","18.788103014933476"
"3","true","0.2","1","10","42.701232288207684","372","21.092920199260643","19.160713161822184"
"3","true","0.2","1","11","42.87601507191881","371","20.824748849847637","19.104138248755717"
"4","true","0.2","1","9","44.320549796664146","365","15.770285885894184","18.411020941235744"
"2","true","0","1","8","44.588289886538426","388","17.64860107029932","18.920559430884154"
"1","true","0","1","10","42.887906310958634","381","27.791543515226138","18.39048067389059"
"3","true","0.2","1","12","41.9342786301821","364","20.39039992907897","18.93516533598302"
"4","true","0.2","1","10","44.52004956092998","364","15.246445889850875","18.144850874001605"
"3","true","0.2","1","13","41.71175431551143","361","19.40276814649596","18.8328112094881"
"2","true","0","1","9","43.70926236301063","384","15.609672922588917","18.17338510289603"
"1","true","0","1","11","42.651599601754874","377","25.803725895284256","18.964872737045635"
"4","true","0.2","1","11","44.38840024911251","360","14.984078313253846","17.95652008936355"
"1","true","0","1","12","42.8304161311839","376","23.54658699559516","19.337200595192208"
"2","true","0","1","10","43.932033681516096","383","14.213575341809689","17.60550122561527"
"3","true","0.2","1","14","40.91359694757698","355","18.326088306496448","18.593288996942224"
"4","true","0.2","1","12","43.965065146753346","355","14.580476803482231","17.661865627193198"
"1","true","0","1","13","42.40055334384991","371","13.842870859327546","17.880519513340023"
"2","true","0","1","11","43.554908223643764","379","12.490747907857612","16.693431203060992"
"3","true","0.2","1","15","39.99277913386127","349","17.39616042993434","18.287536013268074"
"4","true","0.2","1","13","43.62352180458046","352","14.075036157467258","17.371499007409373"
"1","true","0","1","14","42.04984990493518","366","4.408408086629007","9.31986817098087"
"3","true","0.2","1","16","39.26412664954341","344","16.650468288675857","18.00359235945619"
"4","true","0.2","1","14","43.308735788608075","347","13.574275003938789","17.09676284916014"
"2","true","0","1","12","43.840416422003614","378","11.156860017038102","15.853939265645245"
"4","true","0.2","1","15","42.785643079629956","342","13.272997263119697","16.84740587184788"
"3","true","0.2","1","17","38.29784668692453","336","12.89998033581518","16.676051400694824"
"2","true","0","1","13","43.09193762558547","373","4.497759468159944","9.14227143491867"
"4","true","0.2","1","16","42.275518274291045","336","11.443064946144865","15.8876970171098"
"1","true","0","1","15","42.39297520384649","359","3.6106497028281113","7.447271684997377"
"3","true","0.2","1","18","37.82294413831853","333","11.712150927955895","15.94739750938283"
"3","true","0.2","1","19","37.866778518684775","332","11.554826840836512","15.763708855822092"
"2","true","0","1","14","44.19514231827542","370","3.716606992823527","7.441556727379203"
"4","true","0.2","1","17","41.827299187463815","333","10.612179314599691","15.257690120978925"
"4","true","0.2","1","18","41.75170702283173","330","10.555177763485535","15.107273097102786"
"1","true","0","1","16","43.67131517641713","357","3.7119620544372123","7.335563147916402"
"3","true","0.2","1","20","37.6245683163742","328","11.435271290064556","15.602239932095284"
"4","true","0.2","1","19","40.66740658605569","324","9.558907887166482","14.267112120546496"
"2","true","0","1","15","44.635406670757504","363","3.80268828961541","7.281971488383631"
"3","true","0.2","1","21","36.92686485875079","324","11.172643961634776","15.263233304777717"
"4","true","0.2","1","20","40.71279516721018","321","9.17410825019974","13.8897624977269"
"1","true","0","1","17","43.24047200576305","352","3.8070935044430723","7.179082028330918"
"3","true","0.2","1","22","37.07466265627693","324","11.090231416774998","15.123735925590612"
"4","true","0.2","1","21","40.33270100040749","316","9.131585446111014","13.717310799350734"
"4","true","0.2","1","22","39.400372057570365","312","9.07695786423722","13.441042941444682"
"3","true","0.2","1","23","37.10020296364223","322","10.97441397231159","14.903243716425813"
"2","true","0","1","16","44.055414202022696","355","3.7409721944270133","6.851894877392983"
"4","true","0.2","1","23","39.77622514787182","312","9.220804408950249","13.36373599543829"
"1","true","0","1","18","43.309822556407084","349","3.913102810888182","7.073623580981834"
"3","true","0.2","1","24","37.271293217050655","321","10.867133573596908","14.69255199206082"
"4","true","0.2","1","24","39.175439427171696","308","8.604261357769168","12.672437887005684"
"3","true","0.2","1","25","37.005613220374286","313","10.734097884188001","14.489204304622069"
"4","true","0.2","1","25","39.41994439530759","305","8.381363093136974","12.341740123182355"
"2","true","0","1","17","44.83066775270318","353","3.7657791754134973","6.6286108772093595"
"4","true","0.2","1","26","39.27472034854505","300","8.45464074533168","12.178846682559922"
"1","true","0","1","19","43.25259216249319","345","4.011111895263295","6.946394792216399"
"3","true","0.2","1","26","36.88098535568835","309","9.704747938994508","13.746735288088725"
"4","true","0.2","1","27","39.32620234402355","297","8.556800083367943","12.05527591621378"
"3","true","0.2","1","27","36.912439274541946","305","9.336604168123444","13.350767259569189"
"3","true","0.2","1","28","36.937072951783556","299","9.377641535471788","13.23170510838947"
"4","true","0.2","1","28","39.612478168798226","296","8.662881408472302","11.94283691578163"
"2","true","0","1","18","45.41282676351787","350","3.894673531430894","6.581484909566366"
"1","true","0","1","20","43.30098466173171","342","4.113030751703377","6.8365826931707065"
"3","true","0.2","1","29","36.51023307349347","296","8.906223209608259","12.686252556067192"
