run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
4,TRUE,TRUE,0,0,43.17835108,202,34.63829503,28.96886329
2,TRUE,TRUE,0,0,45.06047314,208,34.86468627,28.41130385
3,TRUE,TRUE,0,0,38.63412607,183,28.72701258,28.39086112
1,TRUE,TRUE,0,0,42.78336456,194,33.65762944,29.29370185
4,TRUE,TRUE,0,1,42.30565732,201,34.65779056,28.48746285
2,TRUE,TRUE,0,1,44.30693649,208,34.46808629,27.93137469
3,TRUE,TRUE,0,1,36.29133036,181,28.37080258,27.15950235
1,TRUE,TRUE,0,1,42.94388092,198,33.58877372,29.2549177
4,TRUE,TRUE,0,2,42.65290608,201,35.0422292,28.5740665
2,TRUE,TRUE,0,2,43.96890568,210,35.10428221,27.61195576
3,TRUE,TRUE,0,2,36.26083091,191,28.57850983,27.01135398
1,TRUE,TRUE,0,2,43.38643496,195,34.18019874,29.29311521
4,TRUE,TRUE,0,3,42.94345369,200,35.46181611,28.71078619
2,TRUE,TRUE,0,3,44.07141689,208,35.69073197,27.73434742
4,TRUE,TRUE,0,4,43.17312051,200,35.79220186,28.77389641
3,TRUE,TRUE,0,3,36.41585717,192,29.00038181,27.07381254
1,TRUE,TRUE,0,3,43.52739577,196,34.49858912,29.28871585
4,TRUE,TRUE,0,5,43.1834127,205,36.03752762,28.75941535
2,TRUE,TRUE,0,4,44.26761199,206,36.19369995,27.79248683
3,TRUE,TRUE,0,4,36.67645499,195,29.50512667,27.13871197
1,TRUE,TRUE,0,4,43.64849456,194,34.73622794,29.23398424
2,TRUE,TRUE,0,5,43.9503188,205,36.48534923,27.69972185
4,TRUE,TRUE,0,6,43.45167082,202,36.62427457,28.83096752
3,TRUE,TRUE,0,5,36.24603097,195,29.64391895,27.04789163
1,TRUE,TRUE,0,5,43.36302022,200,34.87272278,28.96986432
2,TRUE,TRUE,0,6,44.23272895,210,36.79240889,27.67986409
4,TRUE,TRUE,0,7,43.6683475,203,36.95708952,28.89337883
3,TRUE,TRUE,0,6,35.79445009,194,29.77155587,26.84649956
1,TRUE,TRUE,0,6,43.71984894,199,35.3506576,29.08505973
2,TRUE,TRUE,0,7,44.72219041,211,37.49765764,27.59841809
4,TRUE,TRUE,0,8,43.16738272,200,37.09934985,29.03405892
3,TRUE,TRUE,0,7,35.95804514,196,30.17188456,26.85718969
1,TRUE,TRUE,0,7,43.99773822,203,35.93449545,29.15190289
2,TRUE,TRUE,0,8,42.89510649,212,37.31445048,26.96413905
3,TRUE,TRUE,0,8,36.23522621,200,30.48905334,26.84205435
4,TRUE,TRUE,0,9,43.32937247,204,37.46532759,29.01914155
1,TRUE,TRUE,0,8,43.63539405,201,36.06144912,29.11486091
3,TRUE,TRUE,0,9,36.14190867,206,30.68720033,26.64568508
4,TRUE,TRUE,0,10,43.29228612,207,37.65731846,28.89459391
2,TRUE,TRUE,0,9,42.87867616,212,37.76098689,26.9460653
4,TRUE,TRUE,0,11,43.10901744,208,37.85582639,28.9518493
1,TRUE,TRUE,0,9,43.56123801,203,36.22758377,28.98799181
3,TRUE,TRUE,0,10,36.08973848,208,31.25633555,26.61956758
2,TRUE,TRUE,0,10,42.11011434,211,37.75417544,26.8678662
4,TRUE,TRUE,0,12,43.23618407,211,38.33605718,28.9291869
1,TRUE,TRUE,0,10,43.72294365,207,36.52001963,29.05123302
3,TRUE,TRUE,0,11,36.50193345,212,31.80256367,26.68959479
2,TRUE,TRUE,0,11,42.19447565,214,38.05266518,26.84954165
4,TRUE,TRUE,0,13,43.45979354,217,38.60302293,28.94914164
3,TRUE,TRUE,0,12,35.60187903,215,31.93660759,26.32492948
1,TRUE,TRUE,0,11,44.14896995,209,37.00362743,29.10204771
3,TRUE,TRUE,0,13,36.03421459,220,32.4207374,26.37819334
2,TRUE,TRUE,0,12,42.10285433,213,38.06611348,27.07190416
1,TRUE,TRUE,0,12,42.86328567,210,36.79754533,28.69234421
4,TRUE,TRUE,0,14,43.52479389,215,39.15915811,28.95002056
3,TRUE,TRUE,0,14,35.86676285,226,32.68417468,26.27918355
2,TRUE,TRUE,0,13,42.03413601,219,38.24519441,26.91559415
4,TRUE,TRUE,0,15,43.74734341,218,39.73419514,28.91005659
1,TRUE,TRUE,0,13,42.1165275,212,36.86344949,28.55055607
3,TRUE,TRUE,0,15,36.16395427,233,32.98902517,26.30549825
2,TRUE,TRUE,0,14,42.27966884,219,38.64042814,26.92448725
4,TRUE,TRUE,0,16,44.15423204,215,41.01507544,28.82569397
1,TRUE,TRUE,0,14,42.4879659,214,37.57967178,28.58445065
2,TRUE,TRUE,0,15,42.8343837,219,39.12851574,26.93243007
3,TRUE,TRUE,0,16,36.5474735,240,33.37524718,26.30918514
1,TRUE,TRUE,0,15,42.96645073,215,38.26015984,28.61323081
4,TRUE,TRUE,0,17,42.67988792,213,40.90648865,28.28522212
2,TRUE,TRUE,0,16,42.76070622,219,39.22480659,27.06980961
3,TRUE,TRUE,0,17,36.91620572,237,34.25349255,26.49317289
1,TRUE,TRUE,0,16,42.96605805,220,38.62852121,28.622867
4,TRUE,TRUE,0,18,42.60988653,211,41.28919605,28.46615973
3,TRUE,TRUE,0,18,37.19819222,238,34.72924119,26.57529843
1,TRUE,TRUE,0,17,43.19416117,222,38.92215022,28.61107276
4,TRUE,TRUE,0,19,43.03331343,212,41.73868408,28.45646067
2,TRUE,TRUE,0,17,43.2260493,221,39.71184394,26.99124499
3,TRUE,TRUE,0,19,36.60164362,235,34.96832204,26.26291546
1,TRUE,TRUE,0,18,42.50798476,219,38.62257314,28.54192164
2,TRUE,TRUE,0,18,43.74317018,225,40.07331776,26.96714572
4,TRUE,TRUE,0,20,43.12863626,211,42.19123625,28.52440306
1,TRUE,TRUE,0,19,43.00596103,219,39.08149179,28.56323234
3,TRUE,TRUE,0,20,36.79812914,234,35.40313702,26.33142139
4,TRUE,TRUE,0,21,43.39011779,211,42.50590375,28.54936187
2,TRUE,TRUE,0,19,42.90228459,227,40.02334552,26.74840557
3,TRUE,TRUE,0,21,36.39050089,233,35.56641477,26.00576711
1,TRUE,TRUE,0,20,43.01666494,221,39.31919127,28.60103676
4,TRUE,TRUE,0,22,43.73463209,209,43.02639259,28.57672801
2,TRUE,TRUE,0,20,42.95456037,226,40.33339848,26.705862
3,TRUE,TRUE,0,22,36.37470366,233,35.77414284,25.85966796
1,TRUE,TRUE,0,21,43.44479366,221,39.75985142,28.5831512
4,TRUE,TRUE,0,23,43.50004294,205,43.43557685,28.61379324
3,TRUE,TRUE,0,23,36.47543537,233,36.06252244,25.88354883
2,TRUE,TRUE,0,21,42.89447126,226,40.51259194,26.56016512
1,TRUE,TRUE,0,22,43.96928584,221,40.25760733,28.57660483
4,TRUE,TRUE,0,24,41.66808013,202,42.83799162,27.96308621
