run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
6,TRUE,TRUE,0,17,24.50819944,153
1,TRUE,TRUE,0,16,29.33222917,162
3,TRUE,TRUE,0,17,27.03449732,161
5,TRUE,TRUE,0,16,31.12124432,154
2,TRUE,TRUE,0,17,26.30283438,162
7,TRUE,TRUE,0,17,29.91777639,151
4,TRUE,TRUE,0,15,34.60829549,160
6,TRUE,TRUE,0,18,24.62933331,155
8,TRUE,TRUE,0,17,30.35878006,161
3,TRUE,TRUE,0,18,27.12972643,160
1,TRUE,TRUE,0,17,29.42444798,161
2,TRUE,TRUE,0,18,26.42835181,164
5,TRUE,TRUE,0,17,30.14142768,153
7,TRUE,TRUE,0,18,29.55016765,154
6,TRUE,TRUE,0,19,24.67470308,155
8,TRUE,TRUE,0,18,30.41656252,162
3,TRUE,TRUE,0,19,26.71801278,162
1,TRUE,TRUE,0,18,29.0913909,162
2,TRUE,TRUE,0,19,26.52034175,163
4,TRUE,TRUE,0,16,34.8032008,158
5,TRUE,TRUE,0,18,30.28718081,153
7,TRUE,TRUE,0,19,29.70256478,151
8,TRUE,TRUE,0,19,30.73004611,165
1,TRUE,TRUE,0,19,29.32322618,161
6,TRUE,TRUE,0,20,24.74884852,156
5,TRUE,TRUE,0,19,30.48924837,153
4,TRUE,TRUE,0,17,34.72479432,159
3,TRUE,TRUE,0,20,27.04334182,163
2,TRUE,TRUE,0,20,26.54738464,167
7,TRUE,TRUE,0,20,29.3580781,152
6,TRUE,TRUE,0,21,24.8299789,157
3,TRUE,TRUE,0,21,27.35197411,167
8,TRUE,TRUE,0,20,30.36861387,165
4,TRUE,TRUE,0,18,33.90278017,159
1,TRUE,TRUE,0,20,29.4522135,161
2,TRUE,TRUE,0,21,26.82760377,172
7,TRUE,TRUE,0,21,29.23341744,151
5,TRUE,TRUE,0,20,30.82320873,157
6,TRUE,TRUE,0,22,23.6179021,154
3,TRUE,TRUE,0,22,27.32192096,167
8,TRUE,TRUE,0,21,28.55726246,164
4,TRUE,TRUE,0,19,33.56977716,160
2,TRUE,TRUE,0,22,26.72497357,170
1,TRUE,TRUE,0,21,29.29115729,161
7,TRUE,TRUE,0,22,29.2990312,152
5,TRUE,TRUE,0,21,30.47517086,160
6,TRUE,TRUE,0,23,23.49033803,159
3,TRUE,TRUE,0,23,27.69489452,169
8,TRUE,TRUE,0,22,28.08826151,160
2,TRUE,TRUE,0,23,25.21540335,169
1,TRUE,TRUE,0,22,29.43886566,164
7,TRUE,TRUE,0,23,27.97179875,147
5,TRUE,TRUE,0,22,29.95629475,161
8,TRUE,TRUE,0,23,28.33384048,159
4,TRUE,TRUE,0,20,33.72562412,160
6,TRUE,TRUE,0,24,23.60816744,163
1,TRUE,TRUE,0,23,28.92078211,162
3,TRUE,TRUE,0,24,27.75009954,169
5,TRUE,TRUE,0,23,30.24478519,161
2,TRUE,TRUE,0,24,23.57935421,168
7,TRUE,TRUE,0,24,27.18831048,145
6,TRUE,TRUE,0,25,23.52745652,158
4,TRUE,TRUE,0,21,33.26985056,156
3,TRUE,TRUE,0,25,27.79548792,170
8,TRUE,TRUE,0,24,27.15182121,159
2,TRUE,TRUE,0,25,23.95968055,169
6,TRUE,TRUE,0,26,23.67199126,164
7,TRUE,TRUE,0,25,27.23620281,147
1,TRUE,TRUE,0,24,28.67752711,161
5,TRUE,TRUE,0,24,29.62018891,159
4,TRUE,TRUE,0,22,33.45940303,157
3,TRUE,TRUE,0,26,27.79534977,165
8,TRUE,TRUE,0,25,26.34185962,161
2,TRUE,TRUE,0,26,23.37891086,172
6,TRUE,TRUE,0,27,23.14196898,164
7,TRUE,TRUE,0,26,26.37898367,146
1,TRUE,TRUE,0,25,28.10413536,163
5,TRUE,TRUE,0,25,29.96424158,162
3,TRUE,TRUE,0,27,27.47286964,169
8,TRUE,TRUE,0,26,26.36615183,160
4,TRUE,TRUE,0,23,33.6986827,157
2,TRUE,TRUE,0,27,23.11549939,175
7,TRUE,TRUE,0,27,26.46194782,150
1,TRUE,TRUE,0,26,28.43032319,165
5,TRUE,TRUE,0,26,29.94283336,163
6,TRUE,TRUE,0,28,23.4360816,168
8,TRUE,TRUE,0,27,26.60859563,158
3,TRUE,TRUE,0,28,27.6676188,170
6,TRUE,TRUE,0,29,23.74717346,171
1,TRUE,TRUE,0,27,28.74135156,166
5,TRUE,TRUE,0,27,29.61999094,163
4,TRUE,TRUE,0,24,33.83677084,155
2,TRUE,TRUE,0,28,22.78280201,173
7,TRUE,TRUE,0,28,26.78229452,153
8,TRUE,TRUE,0,28,26.49616517,160
3,TRUE,TRUE,0,29,27.05783778,170
6,TRUE,TRUE,0,30,23.33028751,171
2,TRUE,TRUE,0,29,23.10148629,177
7,TRUE,TRUE,0,29,26.69897228,153
4,TRUE,TRUE,0,25,34.31327603,158
5,TRUE,TRUE,0,28,29.62345417,163
1,TRUE,TRUE,0,28,28.52953039,164
8,TRUE,TRUE,0,29,26.73266533,158
3,TRUE,TRUE,0,30,27.50231542,173
6,TRUE,TRUE,0,31,23.65251164,171
2,TRUE,TRUE,0,30,21.59255726,176
7,TRUE,TRUE,0,30,26.54223632,157
4,TRUE,TRUE,0,26,34.69481496,161
3,TRUE,TRUE,0,31,27.67170854,173
5,TRUE,TRUE,0,29,29.8454247,163
8,TRUE,TRUE,0,30,26.82168682,158
1,TRUE,TRUE,0,29,28.36891098,167
2,TRUE,TRUE,0,31,21.26281846,175
7,TRUE,TRUE,0,31,26.87944613,160
6,TRUE,TRUE,0,32,23.54176455,174
8,TRUE,TRUE,0,31,27.0205367,159
4,TRUE,TRUE,0,27,34.10876627,161
5,TRUE,TRUE,0,30,30.12759219,164
1,TRUE,TRUE,0,30,28.33128814,167
6,TRUE,TRUE,0,33,23.51545419,174
3,TRUE,TRUE,0,32,26.61490089,173
2,TRUE,TRUE,0,32,21.60151385,174
7,TRUE,TRUE,0,32,26.9895125,158
5,TRUE,TRUE,0,31,29.76561511,163
1,TRUE,TRUE,0,31,28.06577761,166
6,TRUE,TRUE,0,34,23.9383036,176
2,TRUE,TRUE,0,33,21.77657163,173
8,TRUE,TRUE,0,32,27.00839893,159
3,TRUE,TRUE,0,33,26.55500718,169
4,TRUE,TRUE,0,28,33.00023504,162
7,TRUE,TRUE,0,33,27.3044555,157
6,TRUE,TRUE,0,35,24.26322889,180
2,TRUE,TRUE,0,34,22.06065117,173
8,TRUE,TRUE,0,33,27.07264075,158
3,TRUE,TRUE,0,34,26.63555741,167
5,TRUE,TRUE,0,32,29.59155137,160
1,TRUE,TRUE,0,32,28.30720589,166
7,TRUE,TRUE,0,34,27.64332913,157
4,TRUE,TRUE,0,29,32.6949673,161
2,TRUE,TRUE,0,35,21.5441426,173
8,TRUE,TRUE,0,34,26.78312608,156
3,TRUE,TRUE,0,35,26.42504464,172
5,TRUE,TRUE,0,33,29.97331088,163
6,TRUE,TRUE,0,36,23.90408903,177
1,TRUE,TRUE,0,33,26.4167619,164
7,TRUE,TRUE,0,35,27.78066543,159
4,TRUE,TRUE,0,30,32.25245454,164
8,TRUE,TRUE,0,35,27.01573707,154
2,TRUE,TRUE,0,36,21.89226302,173
6,TRUE,TRUE,0,37,23.79210382,176
1,TRUE,TRUE,0,34,26.60103246,163
5,TRUE,TRUE,0,34,29.41234622,159
3,TRUE,TRUE,0,36,25.49146379,167
4,TRUE,TRUE,0,31,32.68182986,163
7,TRUE,TRUE,0,36,28.11673663,160
2,TRUE,TRUE,0,37,22.13089395,172
6,TRUE,TRUE,0,38,24.15127204,176
5,TRUE,TRUE,0,35,29.45367461,160
1,TRUE,TRUE,0,35,27.00786198,163
8,TRUE,TRUE,0,36,27.27291236,153
3,TRUE,TRUE,0,37,25.86834723,170
2,TRUE,TRUE,0,38,22.38464856,171
7,TRUE,TRUE,0,37,28.17553754,162
6,TRUE,TRUE,0,39,23.72477942,175
8,TRUE,TRUE,0,37,26.90008671,154
4,TRUE,TRUE,0,32,33.07726408,165
3,TRUE,TRUE,0,38,25.85881923,167
2,TRUE,TRUE,0,39,22.57555183,168
7,TRUE,TRUE,0,38,27.93978074,161
5,TRUE,TRUE,0,36,28.56940887,157
1,TRUE,TRUE,0,36,26.16331692,161
8,TRUE,TRUE,0,38,26.70300344,155
3,TRUE,TRUE,0,39,26.15908492,167
6,TRUE,TRUE,0,40,21.60767042,172
4,TRUE,TRUE,0,33,32.07924485,163
7,TRUE,TRUE,0,39,28.25697297,160
5,TRUE,TRUE,0,37,28.8661703,156
1,TRUE,TRUE,0,37,26.4409226,162
8,TRUE,TRUE,0,39,26.90912746,153
2,TRUE,TRUE,0,40,22.86164945,166
6,TRUE,TRUE,0,41,21.51832096,172
4,TRUE,TRUE,0,34,32.40016633,162
5,TRUE,TRUE,0,38,28.11760289,153
