"BehaviorSpace results (NetLogo 5.1.0)"
"Denny_mort_3.8.nlogo"
"Experiment_1"
"10/07/2015 16:35:44:909 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","spatial-feedback?","n-trees","mean-tree-age","differential-juvenile-mortality?","juvenile-mortality","[step]","sum [BA] of trees"
"2","true","280","90","true","0","0","48.36541232687514"
"7","true","280","90","true","0.4","0","48.60131924519127"
"5","true","280","90","true","0.2","0","47.612567454197574"
"1","true","280","90","true","0","0","45.85603157026091"
"4","true","280","90","true","0.2","0","48.40399876265351"
"8","true","280","90","true","0.4","0","47.212309962767954"
"3","true","280","90","true","0","0","43.73065711670283"
"6","true","280","90","true","0.2","0","40.94983028773369"
"7","true","280","90","true","0.4","1","46.70686541721726"
"5","true","280","90","true","0.2","1","45.50003865683144"
"1","true","280","90","true","0","1","45.5465587977907"
"4","true","280","90","true","0.2","1","47.945337244183165"
"8","true","280","90","true","0.4","1","47.207149257681074"
"7","true","280","90","true","0.4","2","46.40279150256218"
"4","true","280","90","true","0.2","2","47.03501307149862"
"1","true","280","90","true","0","2","45.5919543773845"
"7","true","280","90","true","0.4","3","44.106699720986946"
"4","true","280","90","true","0.2","3","45.87730331374869"
"7","true","280","90","true","0.4","4","40.39588787111134"
"1","true","280","90","true","0","3","44.221637344324215"
"7","true","280","90","true","0.4","5","39.02047513087269"
"2","true","280","90","true","0","1","48.766058912032975"
"3","true","280","90","true","0","1","42.925771646590704"
"7","true","280","90","true","0.4","6","36.362722025362714"
"1","true","280","90","true","0","4","39.311387989526565"
"7","true","280","90","true","0.4","7","36.00006641781657"
"6","true","280","90","true","0.2","1","40.215974184717005"
"8","true","280","90","true","0.4","2","46.93312076911953"
"5","true","280","90","true","0.2","2","45.71065961548918"
"1","true","280","90","true","0","5","38.090666323407525"
"7","true","280","90","true","0.4","8","36.283793332549585"
"4","true","280","90","true","0.2","4","42.687924416924425"
"6","true","280","90","true","0.2","2","38.70872401885237"
"2","true","280","90","true","0","2","46.538892814557926"
"3","true","280","90","true","0","2","39.86394184084645"
"5","true","280","90","true","0.2","3","43.536478264464826"
"4","true","280","90","true","0.2","5","41.818699875769624"
"1","true","280","90","true","0","6","38.09277326982457"
"7","true","280","90","true","0.4","9","36.65257359060545"
"5","true","280","90","true","0.2","4","42.19483827890153"
"8","true","280","90","true","0.4","3","46.697215453691825"
"4","true","280","90","true","0.2","6","39.77549409691884"
"3","true","280","90","true","0","3","39.135129039230065"
"2","true","280","90","true","0","3","42.91305289387554"
"7","true","280","90","true","0.4","10","37.02489985300171"
