run_no,spat_feed,diff_mort,juv-mort,time,BA,,,,,,,,BA
6,TRUE,TRUE,0.2,9,35.61925481,,,,,,,,
8,TRUE,TRUE,0.4,33,28.67437755,,,,,,,,
5,TRUE,TRUE,0.2,22,34.76262836,,,,,,,,
4,TRUE,TRUE,0.2,29,31.35598283,,,,,,,,
7,TRUE,TRUE,0.4,41,27.87910397,,,,,,,,
8,TRUE,TRUE,0.4,34,28.84116464,,,,,,,,
7,TRUE,TRUE,0.4,42,26.38151513,,,,,,,,
8,TRUE,TRUE,0.4,35,28.72159368,,,,,,,,
5,TRUE,TRUE,0.2,23,35.10524611,,,,,,,,
4,TRUE,TRUE,0.2,30,31.83174148,,,,,,,,
7,TRUE,TRUE,0.4,43,26.60617672,,,,,,,,
8,TRUE,TRUE,0.4,36,29.01788015,,,,,,,,
5,TRUE,TRUE,0.2,24,34.74448389,,,,,,,,
4,TRUE,TRUE,0.2,31,32.22199592,,,,,,,,
2,TRUE,TRUE,0,9,33.59240843,,,,,,,,
8,TRUE,TRUE,0.4,37,28.21379278,,,,,,,,
7,TRUE,TRUE,0.4,44,26.64453699,,,,,,,,
1,TRUE,TRUE,0,13,35.86600034,,,,,,,,
8,TRUE,TRUE,0.4,38,28.30128706,,,,,,,,
7,TRUE,TRUE,0.4,45,26.88604226,,,,,,,,
5,TRUE,TRUE,0.2,25,33.48127531,,,,,,,,
8,TRUE,TRUE,0.4,39,28.37255175,,,,,,,,
4,TRUE,TRUE,0.2,32,32.23261529,,,,,,,,
7,TRUE,TRUE,0.4,46,26.75020207,,,,,,,,
7,TRUE,TRUE,0.4,47,27.03846975,,,,,,,,
7,TRUE,TRUE,0.4,48,26.77738201,,,,,,,,
5,TRUE,TRUE,0.2,26,33.90845903,,,,,,,,
4,TRUE,TRUE,0.2,33,30.65961746,,,,,,,,
7,TRUE,TRUE,0.4,49,26.96567934,,,,,,,,
8,TRUE,TRUE,0.4,40,28.03815166,,,,,,,,
7,TRUE,TRUE,0.4,50,26.53446194,,,,,,,,
6,TRUE,TRUE,0.2,10,35.23401275,,,,,,,,
4,TRUE,TRUE,0.2,34,30.43916231,,,,,,,,
8,TRUE,TRUE,0.4,41,27.33973719,,,,,,,,
8,TRUE,TRUE,0.4,42,27.49726247,,,,,,,,
5,TRUE,TRUE,0.2,27,34.40984253,,,,,,,,
8,TRUE,TRUE,0.4,43,26.608679,,,,,,,,
8,TRUE,TRUE,0.4,44,26.46503985,,,,,,,,
4,TRUE,TRUE,0.2,35,30.44782534,,,,,,,,
3,TRUE,TRUE,0,10,32.23493828,,,,,,,,
6,TRUE,TRUE,0.2,11,34.68728019,,,,,,,,
2,TRUE,TRUE,0,10,33.30729182,,,,,,,,
7,TRUE,TRUE,0.4,51,26.90120246,,,,,,,,
8,TRUE,TRUE,0.4,45,26.82269027,,,,,,,,
5,TRUE,TRUE,0.2,28,34.18309378,,,,,,,,
4,TRUE,TRUE,0.2,36,30.77754807,,,,,,,,
7,TRUE,TRUE,0.4,52,27.11073108,,,,,,,,
8,TRUE,TRUE,0.4,46,27.05698402,,,,,,,,
5,TRUE,TRUE,0.2,29,33.88309548,,,,,,,,
4,TRUE,TRUE,0.2,37,30.32850827,,,,,,,,
8,TRUE,TRUE,0.4,47,27.41743461,,,,,,,,
8,TRUE,TRUE,0.4,48,27.74833311,,,,,,,,
5,TRUE,TRUE,0.2,30,34.4306103,,,,,,,,
4,TRUE,TRUE,0.2,38,30.24544571,,,,,,,,
8,TRUE,TRUE,0.4,49,27.47861977,,,,,,,,
5,TRUE,TRUE,0.2,31,34.77803335,,,,,,,,
1,TRUE,TRUE,0,14,35.13154112,,,,,,,,
5,TRUE,TRUE,0.2,32,35.38296003,,,,,,,,
6,TRUE,TRUE,0.2,12,34.88807377,,,,,,,,
2,TRUE,TRUE,0,11,33.29395359,,,,,,,,
8,TRUE,TRUE,0.4,50,27.7848545,,,,,,,,
5,TRUE,TRUE,0.2,33,35.69244218,,,,,,,,
4,TRUE,TRUE,0.2,39,30.45387132,,,,,,,,
3,TRUE,TRUE,0,11,32.35066634,,,,,,,,
5,TRUE,TRUE,0.2,34,34.77860233,,,,,,,,
5,TRUE,TRUE,0.2,35,34.6204154,,,,,,,,
4,TRUE,TRUE,0.2,40,30.91831955,,,,,,,,
6,TRUE,TRUE,0.2,13,34.57327477,,,,,,,,
5,TRUE,TRUE,0.2,36,34.43148542,,,,,,,,
7,TRUE,TRUE,0.4,53,27.31047892,,,,,,,,
4,TRUE,TRUE,0.2,41,30.64516879,,,,,,,,
5,TRUE,TRUE,0.2,37,34.61725913,,,,,,,,
6,TRUE,TRUE,0.2,14,33.461463,,,,,,,,
7,TRUE,TRUE,0.4,54,26.43685288,,,,,,,,
8,TRUE,TRUE,0.4,51,27.15648623,,,,,,,,
7,TRUE,TRUE,0.4,55,26.7127632,,,,,,,,
1,TRUE,TRUE,0,15,35.53533132,,,,,,,,
5,TRUE,TRUE,0.2,38,35.27300397,,,,,,,,
8,TRUE,TRUE,0.4,52,27.15835252,,,,,,,,
6,TRUE,TRUE,0.2,15,33.01773239,,,,,,,,
2,TRUE,TRUE,0,12,33.89822233,,,,,,,,
7,TRUE,TRUE,0.4,56,26.06400409,,,,,,,,
4,TRUE,TRUE,0.2,42,30.74379575,,,,,,,,
7,TRUE,TRUE,0.4,57,26.51379692,,,,,,,,
8,TRUE,TRUE,0.4,53,27.47167209,,,,,,,,
5,TRUE,TRUE,0.2,39,34.53149021,,,,,,,,
7,TRUE,TRUE,0.4,58,26.90928706,,,,,,,,
8,TRUE,TRUE,0.4,54,27.77955149,,,,,,,,
7,TRUE,TRUE,0.4,59,26.2964638,,,,,,,,
3,TRUE,TRUE,0,12,32.98540279,,,,,,,,
7,TRUE,TRUE,0.4,60,26.44893881,,,,,,,,
7,TRUE,TRUE,0.4,61,26.70366673,,,,,,,,
5,TRUE,TRUE,0.2,40,34.38522437,,,,,,,,
7,TRUE,TRUE,0.4,62,26.56329515,,,,,,,,
7,TRUE,TRUE,0.4,63,26.88310278,,,,,,,,
7,TRUE,TRUE,0.4,64,26.70807794,,,,,,,,
4,TRUE,TRUE,0.2,43,31.1814316,,,,,,,,
5,TRUE,TRUE,0.2,41,34.6111167,,,,,,,,
6,TRUE,TRUE,0.2,16,31.74877288,,,,,,,,
4,TRUE,TRUE,0.2,44,30.23627251,,,,,,,,
8,TRUE,TRUE,0.4,55,27.87797382,,,,,,,,
5,TRUE,TRUE,0.2,42,34.21181007,,,,,,,,
8,TRUE,TRUE,0.4,56,27.13671638,,,,,,,,
7,TRUE,TRUE,0.4,65,27.05607528,,,,,,,,
2,TRUE,TRUE,0,13,34.04300511,,,,,,,,
4,TRUE,TRUE,0.2,45,30.64703106,,,,,,,,
7,TRUE,TRUE,0.4,66,27.47632119,,,,,,,,
7,TRUE,TRUE,0.4,67,27.62828103,,,,,,,,
3,TRUE,TRUE,0,13,33.59243614,,,,,,,,
6,TRUE,TRUE,0.2,17,32.16538356,,,,,,,,
5,TRUE,TRUE,0.2,43,34.92930621,,,,,,,,
8,TRUE,TRUE,0.4,57,26.11507384,,,,,,,,
1,TRUE,TRUE,0,16,36.0603404,,,,,,,,
5,TRUE,TRUE,0.2,44,35.56372433,,,,,,,,
8,TRUE,TRUE,0.4,58,26.32410953,,,,,,,,
4,TRUE,TRUE,0.2,46,30.62989975,,,,,,,,
8,TRUE,TRUE,0.4,59,26.37052116,,,,,,,,
7,TRUE,TRUE,0.4,68,27.58289899,,,,,,,,
8,TRUE,TRUE,0.4,60,26.5774257,,,,,,,,
8,TRUE,TRUE,0.4,61,26.5237998,,,,,,,,
8,TRUE,TRUE,0.4,62,26.74032305,,,,,,,,
8,TRUE,TRUE,0.4,63,24.80741331,,,,,,,,
8,TRUE,TRUE,0.4,64,24.74303195,,,,,,,,
8,TRUE,TRUE,0.4,65,24.33869168,,,,,,,,
4,TRUE,TRUE,0.2,47,30.42478879,,,,,,,,
6,TRUE,TRUE,0.2,18,32.30795726,,,,,,,,
8,TRUE,TRUE,0.4,66,24.246757,,,,,,,,
8,TRUE,TRUE,0.4,67,24.46307463,,,,,,,,
8,TRUE,TRUE,0.4,68,24.65155414,,,,,,,,
8,TRUE,TRUE,0.4,69,24.79253243,,,,,,,,
5,TRUE,TRUE,0.2,45,35.56665974,,,,,,,,
3,TRUE,TRUE,0,14,34.33233679,,,,,,,,
4,TRUE,TRUE,0.2,48,31.06383661,,,,,,,,
2,TRUE,TRUE,0,14,34.41614222,,,,,,,,
8,TRUE,TRUE,0.4,70,25.11059976,,,,,,,,
6,TRUE,TRUE,0.2,19,32.74129369,,,,,,,,
8,TRUE,TRUE,0.4,71,25.22602487,,,,,,,,
4,TRUE,TRUE,0.2,49,30.63061139,,,,,,,,
5,TRUE,TRUE,0.2,46,34.81534383,,,,,,,,
8,TRUE,TRUE,0.4,72,24.98577644,,,,,,,,
4,TRUE,TRUE,0.2,50,30.9769055,,,,,,,,
1,TRUE,TRUE,0,17,35.73015611,,,,,,,,
6,TRUE,TRUE,0.2,20,32.69587859,,,,,,,,
7,TRUE,TRUE,0.4,69,27.65352354,,,,,,,,
4,TRUE,TRUE,0.2,51,31.41128352,,,,,,,,
8,TRUE,TRUE,0.4,73,25.10698936,,,,,,,,
6,TRUE,TRUE,0.2,21,32.60706582,,,,,,,,
7,TRUE,TRUE,0.4,70,27.93963967,,,,,,,,
8,TRUE,TRUE,0.4,74,24.35615731,,,,,,,,
6,TRUE,TRUE,0.2,22,31.78255301,,,,,,,,
8,TRUE,TRUE,0.4,75,24.22083725,,,,,,,,
7,TRUE,TRUE,0.4,71,27.95764049,,,,,,,,
5,TRUE,TRUE,0.2,47,34.98787011,,,,,,,,
8,TRUE,TRUE,0.4,76,23.97886602,,,,,,,,
8,TRUE,TRUE,0.4,77,24.2267454,,,,,,,,
7,TRUE,TRUE,0.4,72,27.8994565,,,,,,,,
6,TRUE,TRUE,0.2,23,31.54551817,,,,,,,,
3,TRUE,TRUE,0,15,34.46621771,,,,,,,,
2,TRUE,TRUE,0,15,34.76182284,,,,,,,,
8,TRUE,TRUE,0.4,78,22.85436417,,,,,,,,
4,TRUE,TRUE,0.2,52,31.08559576,,,,,,,,
6,TRUE,TRUE,0.2,24,31.3551123,,,,,,,,
7,TRUE,TRUE,0.4,73,27.76548715,,,,,,,,
6,TRUE,TRUE,0.2,25,31.28356604,,,,,,,,
1,TRUE,TRUE,0,18,36.64669341,,,,,,,,
5,TRUE,TRUE,0.2,48,35.39264574,,,,,,,,
8,TRUE,TRUE,0.4,79,21.23491034,,,,,,,,
4,TRUE,TRUE,0.2,53,30.09161698,,,,,,,,
7,TRUE,TRUE,0.4,74,28.0085872,,,,,,,,
8,TRUE,TRUE,0.4,80,20.98338222,,,,,,,,
7,TRUE,TRUE,0.4,75,28.39084881,,,,,,,,
7,TRUE,TRUE,0.4,76,28.24163773,,,,,,,,
7,TRUE,TRUE,0.4,77,27.76513646,,,,,,,,
4,TRUE,TRUE,0.2,54,30.35567481,,,,,,,,
6,TRUE,TRUE,0.2,26,30.37755298,,,,,,,,
5,TRUE,TRUE,0.2,49,36.05678469,,,,,,,,
8,TRUE,TRUE,0.4,81,20.74013427,,,,,,,,
3,TRUE,TRUE,0,16,35.15827153,,,,,,,,
8,TRUE,TRUE,0.4,82,20.58278096,,,,,,,,
6,TRUE,TRUE,0.2,27,29.98404225,,,,,,,,
2,TRUE,TRUE,0,16,34.53164339,,,,,,,,
8,TRUE,TRUE,0.4,83,20.94332518,,,,,,,,
7,TRUE,TRUE,0.4,78,27.89068789,,,,,,,,
6,TRUE,TRUE,0.2,28,29.88759992,,,,,,,,
8,TRUE,TRUE,0.4,84,19.50639258,,,,,,,,
8,TRUE,TRUE,0.4,85,19.81559416,,,,,,,,
6,TRUE,TRUE,0.2,29,30.22358569,,,,,,,,
7,TRUE,TRUE,0.4,79,28.32021683,,,,,,,,
5,TRUE,TRUE,0.2,50,36.60377911,,,,,,,,
7,TRUE,TRUE,0.4,80,28.30489281,,,,,,,,
6,TRUE,TRUE,0.2,30,29.57223858,,,,,,,,
7,TRUE,TRUE,0.4,81,28.40453129,,,,,,,,
7,TRUE,TRUE,0.4,82,28.4903037,,,,,,,,
6,TRUE,TRUE,0.2,31,29.97147849,,,,,,,,
8,TRUE,TRUE,0.4,86,20.12933486,,,,,,,,
4,TRUE,TRUE,0.2,55,30.28506734,,,,,,,,
8,TRUE,TRUE,0.4,87,20.36477925,,,,,,,,
5,TRUE,TRUE,0.2,51,36.95104761,,,,,,,,
6,TRUE,TRUE,0.2,32,30.39003969,,,,,,,,
7,TRUE,TRUE,0.4,83,28.22483396,,,,,,,,
8,TRUE,TRUE,0.4,88,19.92519171,,,,,,,,
1,TRUE,TRUE,0,19,36.29971242,,,,,,,,
7,TRUE,TRUE,0.4,84,28.24311308,,,,,,,,
4,TRUE,TRUE,0.2,56,29.99868159,,,,,,,,
5,TRUE,TRUE,0.2,52,37.52479299,,,,,,,,
2,TRUE,TRUE,0,17,36.35853483,,,,,,,,
6,TRUE,TRUE,0.2,33,30.62218961,,,,,,,,
8,TRUE,TRUE,0.4,89,19.83246198,,,,,,,,
5,TRUE,TRUE,0.2,53,38.23140723,,,,,,,,
6,TRUE,TRUE,0.2,34,30.4221812,,,,,,,,
5,TRUE,TRUE,0.2,54,37.46619303,,,,,,,,
7,TRUE,TRUE,0.4,85,28.13804556,,,,,,,,
6,TRUE,TRUE,0.2,35,30.86355914,,,,,,,,
8,TRUE,TRUE,0.4,90,19.86236012,,,,,,,,
3,TRUE,TRUE,0,17,38.14060803,,,,,,,,
5,TRUE,TRUE,0.2,55,37.96612327,,,,,,,,
