run_no,spat_feed,juv-mort,time,BA,no_trees,tree_size,tree_size_SD
8,TRUE,0,0,42.00737764,384,34.55282413,14.11705101
5,TRUE,0,0,41.98385858,310,38.34357843,15.9605587
6,TRUE,0,0,41.75227683,328,36.81096579,16.31888802
4,TRUE,0,0,43.94573547,317,38.70623846,16.35650424
2,TRUE,0,0,40.29165467,341,35.55602066,15.51471168
1,TRUE,0,0,40.75269547,306,37.79480221,16.3674366
7,TRUE,0,0,42.23146682,391,34.24983475,14.23025063
3,TRUE,0,0,41.14324128,371,34.80801307,14.16899249
5,TRUE,0,1,41.74672472,306,24.61076165,21.74013215
6,TRUE,0,1,41.18617955,323,24.65578632,21.19877901
4,TRUE,0,1,43.72470925,313,28.24985887,21.66277688
2,TRUE,0,1,39.97054277,338,25.74523571,20.09350125
1,TRUE,0,1,40.75895628,305,20.03154891,21.36177676
7,TRUE,0,1,41.30604534,381,21.30431675,19.3015061
5,TRUE,0,2,41.32817514,304,24.51113156,21.56989849
8,TRUE,0,1,41.50027663,376,25.87757809,18.86850358
6,TRUE,0,2,40.94928043,321,24.55157882,21.09413536
4,TRUE,0,2,42.80649258,308,28.62301872,21.33220502
2,TRUE,0,2,39.74241489,335,25.72374297,19.99613489
1,TRUE,0,2,40.7600935,303,20.10077354,21.28396912
3,TRUE,0,1,40.64582831,367,20.28770512,19.38966957
7,TRUE,0,2,40.96230741,378,21.26547478,19.15791189
5,TRUE,0,3,41.30976963,300,24.62372066,21.58142019
6,TRUE,0,3,40.93271778,319,24.57540144,21.05624855
8,TRUE,0,2,41.38898496,370,26.45284436,18.78000866
5,TRUE,0,4,41.30895355,298,25.06672975,21.53377708
6,TRUE,0,4,40.89086865,317,24.32567966,21.02573029
7,TRUE,0,3,40.81450867,376,20.95877426,19.05852008
4,TRUE,0,3,42.2391484,303,28.54868569,21.31449612
2,TRUE,0,3,39.88019395,334,25.87269194,19.95215245
1,TRUE,0,3,40.10914184,297,20.28050376,21.19275307
3,TRUE,0,2,40.16090627,362,20.13765715,19.22929256
8,TRUE,0,3,41.13015022,366,26.39341393,18.7445273
5,TRUE,0,5,41.47072661,298,25.21294686,21.46201783
6,TRUE,0,5,40.72547469,314,24.13367491,21.00251495
4,TRUE,0,4,41.83538459,299,28.31617509,21.34097577
2,TRUE,0,4,39.76268036,330,25.88034816,19.97603886
1,TRUE,0,4,40.27642178,297,20.43715309,21.12695794
3,TRUE,0,3,39.9704929,357,20.09691123,19.17547306
5,TRUE,0,6,41.00942341,295,25.10207088,21.36038417
8,TRUE,0,4,40.99134251,363,26.53087985,18.67997771
6,TRUE,0,6,40.19843787,310,24.13875941,20.82252375
7,TRUE,0,4,40.32845914,372,20.84328557,18.90073576
4,TRUE,0,5,41.76182404,296,28.06440537,21.41547911
1,TRUE,0,5,40.01492023,292,20.49635867,21.10906294
2,TRUE,0,5,39.36560745,324,25.76540852,20.02642905
5,TRUE,0,7,39.84364519,292,24.85814406,20.91790664
3,TRUE,0,4,39.64248874,353,19.84978073,19.05875238
7,TRUE,0,5,40.36222864,370,20.64644888,18.84874183
4,TRUE,0,6,41.30607805,293,28.01703075,21.29419273
5,TRUE,0,8,39.20894787,289,24.63422627,20.72910951
6,TRUE,0,7,40.1606978,309,24.10467021,20.74302072
1,TRUE,0,6,40.10856543,291,20.26883023,21.00038244
2,TRUE,0,6,39.00546809,321,25.68873234,19.93692092
8,TRUE,0,5,40.40603599,355,26.45697181,18.7230906
7,TRUE,0,6,39.68455096,365,20.46007923,18.67066632
5,TRUE,0,9,39.08013645,286,24.48409024,20.72193081
6,TRUE,0,8,38.28003573,302,23.7052488,20.33664342
1,TRUE,0,7,39.90966795,289,20.11322799,20.84826647
2,TRUE,0,7,37.78058913,314,25.33042294,19.72785194
8,TRUE,0,6,40.38162334,352,26.37857473,18.76014011
3,TRUE,0,5,39.82724514,352,19.74494161,18.99470857
4,TRUE,0,7,40.74109311,289,27.60829802,21.29765135
5,TRUE,0,10,37.2836202,278,24.0394866,20.39636206
7,TRUE,0,7,39.53976298,363,20.46360215,18.56006455
6,TRUE,0,9,38.28876789,300,23.47611626,20.32458128
8,TRUE,0,7,40.58262375,352,26.51611211,18.70473372
5,TRUE,0,11,36.21263537,274,23.72188531,20.11587424
3,TRUE,0,6,39.32158217,346,19.55120842,18.88594762
4,TRUE,0,8,40.39408826,285,27.59487856,21.27121065
1,TRUE,0,8,38.87393466,285,19.78783405,20.53891878
2,TRUE,0,8,37.73534054,312,25.32037403,19.70878772
7,TRUE,0,8,39.56386674,361,20.38975013,18.49947567
8,TRUE,0,8,40.38896242,348,26.60347566,18.67624294
4,TRUE,0,9,40.34307973,284,27.54639529,21.23152891
6,TRUE,0,10,38.35478301,298,23.28369163,20.30810819
1,TRUE,0,9,38.47345447,283,19.41865049,20.30757735
2,TRUE,0,9,37.73711663,310,25.18603703,19.71586346
3,TRUE,0,7,39.46406376,344,19.52814594,18.83630316
5,TRUE,0,12,35.74924657,270,23.34709982,20.05033522
7,TRUE,0,9,39.02257678,356,20.02743098,18.34547197
1,TRUE,0,10,38.07390728,277,18.92857019,20.17415672
6,TRUE,0,11,38.0752505,296,22.79728422,20.19857074
2,TRUE,0,10,37.84134105,309,24.97691564,19.72599717
5,TRUE,0,13,35.65260101,268,22.9541003,20.05538441
8,TRUE,0,9,40.38397429,345,26.52807745,18.72252202
7,TRUE,0,10,39.25477693,356,19.91617927,18.29044485
4,TRUE,0,10,38.66117774,278,27.01622004,20.85131157
3,TRUE,0,8,39.24738909,341,19.50329313,18.72563864
6,TRUE,0,12,38.07929107,293,22.26957829,20.19167082
5,TRUE,0,14,35.6515622,267,22.68086022,20.03824191
8,TRUE,0,10,39.76944865,340,26.37715449,18.67876962
4,TRUE,0,11,38.49727954,274,26.88097779,20.90719464
1,TRUE,0,11,38.21020138,276,18.76557251,20.06842687
2,TRUE,0,11,38.02284174,309,24.83540881,19.70629895
6,TRUE,0,13,37.97556761,292,22.12250614,20.12521003
5,TRUE,0,15,35.25039079,266,22.53693491,19.85048929
7,TRUE,0,11,39.26093109,354,19.7380527,18.22699359
3,TRUE,0,9,38.77818818,337,19.48280486,18.57009858
8,TRUE,0,11,39.81618701,338,26.30429321,18.69963464
4,TRUE,0,12,38.46081928,272,26.3575677,20.97170998
1,TRUE,0,12,38.1627476,273,18.44591901,19.94224861
