run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
14,FALSE,TRUE,0.2,102,29.92106589,72
15,FALSE,TRUE,0.4,38,36.01069502,172
7,TRUE,FALSE,0,130,63.30032926,440
14,FALSE,TRUE,0.2,103,29.95062906,71
15,FALSE,TRUE,0.4,39,35.87598075,171
14,FALSE,TRUE,0.2,104,30.00528111,70
13,FALSE,TRUE,0,76,36.96040081,250
15,FALSE,TRUE,0.4,40,35.53902019,169
14,FALSE,TRUE,0.2,105,30.25992643,70
7,TRUE,FALSE,0,131,63.53718089,426
14,FALSE,TRUE,0.2,106,30.34015579,69
15,FALSE,TRUE,0.4,41,35.91895858,169
13,FALSE,TRUE,0,77,37.0815667,257
14,FALSE,TRUE,0.2,107,30.55410834,69
15,FALSE,TRUE,0.4,42,36.16715609,168
14,FALSE,TRUE,0.2,108,29.85305224,68
15,FALSE,TRUE,0.4,43,36.52883126,167
13,FALSE,TRUE,0,78,37.660739,266
14,FALSE,TRUE,0.2,109,29.49034617,67
14,FALSE,TRUE,0.2,110,29.75804683,67
15,FALSE,TRUE,0.4,44,36.86768222,164
7,TRUE,FALSE,0,132,62.83210534,406
14,FALSE,TRUE,0.2,111,29.95189019,67
13,FALSE,TRUE,0,79,37.37409175,269
15,FALSE,TRUE,0.4,45,35.34210726,161
14,FALSE,TRUE,0.2,112,29.4495515,66
14,FALSE,TRUE,0.2,113,29.69209046,66
15,FALSE,TRUE,0.4,46,35.09811186,160
14,FALSE,TRUE,0.2,114,29.73341484,65
15,FALSE,TRUE,0.4,47,35.46808239,160
7,TRUE,FALSE,0,133,62.38017209,389
13,FALSE,TRUE,0,80,37.59778914,277
14,FALSE,TRUE,0.2,115,29.96406121,65
14,FALSE,TRUE,0.2,116,30.17633346,65
15,FALSE,TRUE,0.4,48,34.18569428,157
13,FALSE,TRUE,0,81,36.96274983,286
14,FALSE,TRUE,0.2,117,30.15973828,64
7,TRUE,FALSE,0,134,63.29680705,384
15,FALSE,TRUE,0.4,49,34.56995871,157
14,FALSE,TRUE,0.2,118,30.38919259,64
14,FALSE,TRUE,0.2,119,30.61097734,64
15,FALSE,TRUE,0.4,50,34.89682755,157
