run_no,spat_feed,diff_mort,juv-mort,time,BA,no_trees
4,TRUE,TRUE,0,32,38.59880435,144
3,TRUE,TRUE,0,32,34.24670498,179
1,TRUE,TRUE,0,33,37.19206055,125
2,TRUE,TRUE,0,35,40.94519312,171
4,TRUE,TRUE,0,33,37.71333858,141
1,TRUE,TRUE,0,34,37.52199304,126
3,TRUE,TRUE,0,33,34.29742671,178
4,TRUE,TRUE,0,34,37.3803435,140
1,TRUE,TRUE,0,35,36.49406158,123
2,TRUE,TRUE,0,36,41.29933801,169
3,TRUE,TRUE,0,34,34.62362946,178
4,TRUE,TRUE,0,35,37.73038985,140
2,TRUE,TRUE,0,37,40.83655529,165
3,TRUE,TRUE,0,35,33.74591487,177
1,TRUE,TRUE,0,36,36.8577878,123
2,TRUE,TRUE,0,38,41.24004749,167
1,TRUE,TRUE,0,37,36.38910135,121
4,TRUE,TRUE,0,36,37.59414503,140
3,TRUE,TRUE,0,36,34.14349221,178
2,TRUE,TRUE,0,39,40.59064733,166
1,TRUE,TRUE,0,38,35.51475496,119
4,TRUE,TRUE,0,37,37.9372675,140
3,TRUE,TRUE,0,37,34.2055485,177
1,TRUE,TRUE,0,39,35.7961798,119
4,TRUE,TRUE,0,38,38.30148349,141
2,TRUE,TRUE,0,40,41.01482069,165
3,TRUE,TRUE,0,38,34.5450024,177
4,TRUE,TRUE,0,39,38.64448446,142
1,TRUE,TRUE,0,40,36.04095892,117
2,TRUE,TRUE,0,41,39.94109883,163
3,TRUE,TRUE,0,39,34.20700847,176
1,TRUE,TRUE,0,41,35.22456777,116
2,TRUE,TRUE,0,42,40.24125324,164
4,TRUE,TRUE,0,40,38.41507421,142
1,TRUE,TRUE,0,42,34.948827,114
3,TRUE,TRUE,0,40,34.54657878,174
2,TRUE,TRUE,0,43,38.88598094,164
4,TRUE,TRUE,0,41,38.65977227,142
1,TRUE,TRUE,0,43,34.39305135,112
3,TRUE,TRUE,0,41,34.30347263,174
2,TRUE,TRUE,0,44,38.70740105,163
4,TRUE,TRUE,0,42,38.90963606,140
3,TRUE,TRUE,0,42,34.70567869,175
1,TRUE,TRUE,0,44,34.72291014,114
2,TRUE,TRUE,0,45,36.86127835,157
4,TRUE,TRUE,0,43,39.27798463,145
1,TRUE,TRUE,0,45,33.99926357,112
3,TRUE,TRUE,0,43,34.81396192,173
2,TRUE,TRUE,0,46,36.24224677,155
1,TRUE,TRUE,0,46,34.3152969,112
4,TRUE,TRUE,0,44,38.86503891,146
2,TRUE,TRUE,0,47,35.78767523,151
3,TRUE,TRUE,0,44,34.81163137,172
1,TRUE,TRUE,0,47,34.05447225,111
4,TRUE,TRUE,0,45,38.25778817,146
3,TRUE,TRUE,0,45,33.99486166,173
2,TRUE,TRUE,0,48,35.87734157,150
1,TRUE,TRUE,0,48,33.80356128,112
4,TRUE,TRUE,0,46,37.74310391,146
3,TRUE,TRUE,0,46,34.34165678,172
2,TRUE,TRUE,0,49,35.98123163,152
1,TRUE,TRUE,0,49,34.09632589,113
4,TRUE,TRUE,0,47,38.12202894,146
3,TRUE,TRUE,0,47,34.68220273,171
2,TRUE,TRUE,0,50,36.37803483,152
