ID,Dead,GR,DBH,SL
950,1,3.2,13.4,4
957,0,4.6,46.2,4
958,0,1.05,5.1,4
959,0,0.75,9.5,4
966,0,1.4,10.8,4
967,0,0.65,7.3,4
975,0,1.3,8.6,4
982,0,1.3,7.6,4
986,0,2.15,15.3,4
1001,0,3.8,27.1,4
1002,0,0.95,9.9,4
1003,0,3.4,52.8,4
1004,1,1.2,34.4,4
1005,0,5.3,71.6,4
1006,0,1.9,22.3,4
1007,0,3.4,25.8,4
1009,0,1.35,13.7,4
1019,1,-0.25,95.5,4
1020,0,3.9,22.3,4
1027,0,5.6,38.2,4
1030,0,5.75,24.5,4
1031,0,3,14,4
1034,0,4.35,17.2,4
1036,0,3.3,30.6,4
1041,0,3.1,33.7,4
1042,0,1.65,15.3,4
1044,0,5,23,4
1045,0,2.8,12.1,4
1046,0,3.8,76.1,4
1050,1,2.2,83.4,4
1053,0,1.2,108.9,4
1053,0,1.2,108.9,4
1056,0,2.65,11.8,4
1067,1,1.15,14.3,4
1081,0,1.95,8.9,4
1083,0,1.8,8.6,4
1109,1,0.65,64.3,4
1114,0,2.2,139.4,4
1115,0,1.5,10,4
1118,0,4,21,4
1119,0,2.45,8.9,4
1124,0,2.25,9.5,4
1126,0,1.95,8.9,4
1132,1,0.3,106.6,4
1155,1,-0.15,112.7,4
1156,0,4.3,43.6,4
1160,1,1.75,9.5,4
1173,0,-0.05,8.9,4
1180,0,3.55,12.1,4
1187,0,0.85,19.7,4
1188,0,0.45,16.9,4
1192,0,0.55,41.1,4
1195,0,1.1,38.2,4
1211,0,-0.6,61.8,4
1216,0,0.75,4.5,4
1219,0,0.8,14.6,4
1221,0,1.15,14.3,4
1224,0,3.1,51.2,4
1226,0,2.3,37.6,4
1234,0,0.05,20.1,4
1236,0,0.5,8,4
1237,0,0,6,4
1239,0,0.65,85.3,4
1243,0,1.7,33.4,4
1247,1,2.3,65.6,4
1253,0,4.85,69.7,4
1262,0,1.35,42.7,4
1263,0,1.55,75.1,4
1266,1,0,35,4
1268,0,1.6,10.2,4
1270,0,3.65,57.3,4
1271,1,3.75,46.5,4
1276,0,1.7,13.4,4
1287,0,0.8,78.6,4
1289,0,0.6,24.2,4
1290,0,0.5,6.5,4
1291,0,2,37,4
1310,0,2.5,38,4
1312,0,3,15,4
1315,0,1.25,11.5,4
1317,0,2.5,29,4
1317,0,2.5,29,4
1331,0,1.5,31,4
1331,0,1.5,31,4
1338,0,0.5,8,4
1338,0,0.5,8,4
1346,0,0.85,13.7,4
1348,0,0.7,41.4,4
1353,0,0.4,18.8,4
1360,0,1.45,30.9,4
1360,0,1.45,30.9,4
1361,0,2.8,51.6,4
1364,0,0,19,4
1364,0,0,19,4
1365,0,1.85,40.7,4
1365,0,1.85,40.7,4
1372,0,1,8,4
1372,0,1,8,4
1374,0,1,17,4
1374,0,1,17,4
1380,0,1.9,18.8,4
1384,0,1.95,29.9,4
1385,0,0.6,16.2,4
1386,0,-0.4,23.2,4
1397,0,2.9,46.8,4
1398,0,2.1,37.2,4
1399,0,1.35,35.7,4
1403,0,2.2,34.4,4
1428,0,0.7,19.4,4
1432,0,1.6,23.2,4
1452,0,1.45,8.9,4
1458,0,0,56,4
1470,0,0.5,21,4
1471,0,2.2,26.4,4
1474,0,-0.45,41.1,4
1475,0,-0.05,64.9,4
1476,0,1.75,25.5,4
1478,0,0.75,18.5,4
1487,0,1.2,68.4,4
1502,0,3.4,46.8,4
1509,0,2.25,23.6,4
1534,0,0.45,79.9,4
1537,0,1,23,4
1544,0,0.55,13.1,4
1554,0,0.45,15.9,4
1557,0,0.75,11.5,4
1564,0,1.05,12.1,4
1572,0,-0.1,3.8,4
1583,0,0.25,7.5,4
1594,0,-0.1,10.8,4
1598,0,0.8,16.6,4
1610,0,1.2,76.4,4
1621,0,1,15,4
1623,0,1.7,13.4,4
1624,0,0.35,13.7,4
1626,0,4.45,44.9,4
1627,0,-0.3,12.4,4
1628,0,0.5,7,4
1630,0,0,20,4
1644,0,1.35,13.7,4
1665,0,1,10,4
1671,0,0.5,6,4
1672,0,1,10,4
1674,0,-0.5,6,4
1675,0,1,23,4
1677,0,0.95,51.9,4
1681,0,0,46,4
1690,0,0,7,4
1691,0,0.5,12,4
1692,0,0,5,4
1693,0,0.5,17,4
1700,0,1.25,18.5,4
1701,0,0.5,14,4
1702,0,-0.5,8,4
16,0,3.25,88.8,12
17,0,4,30.2,12
18,0,1.5,48.3,12
42,0,1.5,85,12
116,1,-0.75,64.6,12
133,0,0,46.2,12
136,0,0,95.8,12
139,0,0,60.5,12
170,0,0,62.1,12
173,0,-0.5,57.1,12
174,0,1.75,89.8,12
175,0,0,57.3,12
177,0,-0.75,53.8,12
207,1,1,76.8,12
212,0,2.25,24.8,12
213,0,1,8.4,12
215,0,0,12.1,12
216,0,-0.25,34.9,12
218,0,1.5,28.3,12
221,0,0,36.6,12
223,0,-0.5,24.3,12
225,0,2.75,46.3,12
230,0,3.5,97.8,12
239,0,4,27.4,12
240,0,2.25,13.3,12
250,1,1.5,11.4,12
258,0,3,23.5,12
261,0,1.75,14.7,12
266,0,1.25,15.8,12
273,0,0.25,6.5,12
280,1,0,55,12
289,0,0.5,83.9,12
297,0,8.75,17.2,12
298,0,3,59.1,12
305,0,0.5,16.1,12
306,0,2.75,18.6,12
308,0,4,23.9,12
311,0,3.25,9.9,12
324,0,1.25,60.3,12
344,0,1.5,42.3,12
349,0,0,58.3,12
354,0,2.75,26.6,12
375,0,3.5,53.9,12
377,0,1,22.7,12
384,0,4.5,14.5,12
386,1,0,33,12
387,0,-0.25,15.9,12
389,0,1.25,14.5,12
390,0,3.5,51.4,12
391,0,4.25,34.7,12
395,0,0.75,7.3,12
398,0,4.25,25.7,12
405,1,0,17.5,12
415,0,2,25.3,12
430,1,0,10.2,12
432,0,3,49.3,12
435,0,4,25.8,12
437,0,6.5,57,12
440,0,4.75,12.1,12
452,0,5.75,38,12
465,0,-0.75,99.3,12
483,0,1.75,37,12
493,0,2.5,7,12
498,0,4,57,12
506,0,1.5,50.6,12
512,0,5,26.5,12
514,0,1.5,10.1,12
518,0,-0.25,18,12
521,0,-0.75,57.6,12
522,0,5.5,44.2,12
528,0,1.5,27.3,12
532,0,1.5,40.1,12
533,0,0,42.7,12
533,0,0,42.7,12
535,0,1,9.3,12
543,0,-0.75,30.6,12
544,1,-0.25,21.5,12
548,0,0.25,5.2,12
551,0,2.5,11.5,12
555,0,2.75,30.7,12
565,0,2.75,54.1,12
567,0,1.75,20.1,12
569,0,5.5,26.1,12
573,0,6,56.4,12
575,0,4,40.8,12
579,0,1.25,18,12
581,0,1,5.2,12
582,0,2.5,16.3,12
585,0,1,16.3,12
586,0,5.25,29.2,12
588,0,2.25,32.1,12
589,0,1,11.2,12
591,0,1.75,29.7,12
596,0,0.75,10.2,12
597,0,-0.5,17.9,12
598,0,5.75,48.1,12
603,0,0.75,20.7,12
607,0,0.25,11.6,12
609,0,1.75,16,12
610,0,1.75,42.7,12
610,0,1.75,42.7,12
612,0,3.5,42.8,12
620,0,-0.25,15.2,12
632,0,1.25,35.8,12
639,0,0.5,29.2,12
643,0,1.25,3,12
648,0,-1,27,12
649,0,7,75.8,12
652,1,0.5,22.2,12
653,0,17.75,36.4,12
660,0,1.75,10.9,12
662,0,5,70.4,12
665,0,1.5,14.6,12
667,0,1.25,5.9,12
668,0,3.5,22.1,12
671,0,5.25,82.3,12
