Block,Year,F_BA,I_BA,Q_BA,FS,IS,QS,FM,IM,QM,SDM,BAM,BAFM,BAQM,SDS,Northing,Easting
37,1996,17.23550379,2.070309559,13.52970073,1,4,0,6,10,4,20,32.83551408,17.23550379,13.52970073,5,106188,433001
37,2014,21.4985005,1.394197301,11.03122805,0,2,0,6,5,2,13,33.92392586,21.4985005,11.03122805,2,106188,433001
38,1964,25.77873122,1.447096116,27.37308949,2,3,0,11,6,5,22,54.59891682,25.77873122,27.37308949,5,106178,433001
38,1984,26.01338855,0.779743297,27.46594319,2,1,0,9,3,5,17,54.25907504,26.01338855,27.46594319,3,106178,433001
38,1988,26.45584261,0.785889037,28.02284939,2,1,0,9,3,5,17,55.26458104,26.45584261,28.02284939,3,106178,433001
38,1996,29.00243725,1.018897037,30.03878976,2,1,0,9,3,5,17,60.06012405,29.00243725,30.03878976,3,106178,433001
38,2014,19.05029959,0.601804629,34.02772472,0,0,0,8,1,5,14,53.67982894,19.05029959,34.02772472,0,106178,433001
39,1964,28.26255291,2.146100481,11.49822911,1,0,0,6,3,7,16,41.9068825,28.26255291,11.49822911,1,106150,432994
39,1984,24.19299269,2.041838875,9.841353147,0,1,0,3,4,5,12,36.07618471,24.19299269,9.841353147,1,106150,432994
39,1988,24.71610714,2.143528302,7.216886279,0,1,0,3,4,3,10,34.07652172,24.71610714,7.216886279,1,106150,432994
39,1996,26.01376162,2.248005893,7.855336446,0,2,0,3,5,3,11,36.11710396,26.01376162,7.855336446,2,106150,432994
39,2014,17.79053848,2.576917472,7.100100956,0,3,0,2,5,2,9,27.46755691,17.79053848,7.100100956,3,106150,432994
40,1964,22.27389191,0,13.0435,1,0,0,7,0,5,12,35.31739191,22.27389191,13.0435,1,106125,432991
40,1984,24.05154248,0,14.06834643,0,2,0,6,2,4,12,38.11988891,24.05154248,14.06834643,2,106125,432991
40,1988,19.63020243,0,14.00751734,0,4,0,4,4,4,12,33.63771977,19.63020243,14.00751734,4,106125,432991
40,1996,20.66117496,0,15.38596966,0,4,0,4,4,4,12,36.04714462,20.66117496,15.38596966,4,106125,432991
40,2014,25.71347049,0.272353896,17.27408069,0,2,0,4,3,3,10,43.25990508,25.71347049,17.27408069,2,106125,432991
41,1964,11.85754877,1.315541924,12.64650086,5,1,0,11,4,8,24,32.88817503,11.85754877,12.64650086,6,106110,433000
41,1984,15.61408855,0.208307228,10.68386939,2,1,0,10,2,4,17,33.83640587,15.61408855,10.68386939,3,106110,433000
41,1988,9.665463228,0.208307228,10.03238161,1,2,0,7,3,4,14,19.90615207,9.665463228,10.03238161,3,106110,433000
41,1996,9.814531799,0.241922269,11.67818347,0,4,0,5,5,4,14,21.73463753,9.814531799,11.67818347,4,106110,433000
41,2014,12.02601946,0.564403217,12.41508028,0,7,0,5,9,3,17,25.00550296,12.02601946,12.41508028,7,106110,433000
42,1964,18.06612125,1.101520924,37.03741389,4,12,0,16,15,4,36,56.20505607,18.06612125,37.03741389,17,106089,432997
42,1984,17.94624986,0.496391274,29.50886199,2,6,0,11,7,3,22,47.95150312,17.94624986,29.50886199,9,106089,432997
42,1988,18.65528769,0.483981983,17.98328138,2,6,0,11,7,2,21,37.12255105,18.65528769,17.98328138,9,106089,432997
42,1996,21.23121695,0.541060795,19.06658107,1,5,0,11,6,2,20,41.04314087,21.23121695,19.06658107,6,106089,432997
42,2014,36.09514743,0.789607461,20.30518658,0,4,0,13,5,2,21,57.55778834,36.09514743,20.30518658,4,106089,432997
43,1964,25.54703876,3.212278488,44.41819313,3,34,0,18,47,4,69,73.17751038,25.54703876,44.41819313,37,106072,432991
43,1984,24.27812985,3.264409291,29.27860288,1,20,0,13,28,3,44,56.82114202,24.27812985,29.27860288,21,106072,432991
43,1988,23.57739761,3.29072013,30.49492938,1,19,0,12,27,3,42,57.36304712,23.57739761,30.49492938,20,106072,432991
43,1996,24.22114922,3.325768523,32.3447384,1,17,0,11,25,3,39,59.89165614,24.22114922,32.3447384,18,106072,432991
43,2014,27.38121535,5.43912018,34.72303287,1,7,0,11,21,3,35,67.54336841,27.38121535,34.72303287,8,106072,432991
46,1964,23.56587189,2.157881454,18.8574099,1,10,0,8,16,1,25,44.58116325,23.56587189,18.8574099,11,106012,432982
46,1984,24.95649788,1.384440978,18.51263974,0,6,0,7,9,1,17,44.8535786,24.95649788,18.51263974,6,106012,432982
46,1988,24.86344783,1.151118818,0,0,3,0,7,6,0,13,26.01456665,24.86344783,0,3,106012,432982
46,1996,26.39727154,1.687840288,0,0,3,0,7,6,0,13,28.08511183,26.39727154,0,3,106012,432982
46,2014,27.54574177,0,0,0,2,0,6,2,0,8,27.54574177,27.54574177,0,2,106012,432982
47,1964,16.61472508,4.256858046,50.01022805,0,10,0,4,19,4,27,70.88181118,16.61472508,50.01022805,10,105993,432978
47,1984,18.60109521,4.015151761,52.68470515,0,10,0,4,18,4,26,75.30095212,18.60109521,52.68470515,10,105993,432978
47,1988,18.45687647,3.682731988,42.09912834,0,8,0,3,15,3,21,64.2387368,18.45687647,42.09912834,8,105993,432978
47,1996,19.4901463,3.65202292,43.39061744,0,6,0,3,11,3,17,66.53278666,19.4901463,43.39061744,6,105993,432978
47,2014,8.191903864,3.29490521,16.38679188,0,2,0,2,6,1,9,27.87360096,8.191903864,16.38679188,2,105993,432978
48,1964,26.37956081,2.012582794,45.63163329,7,14,1,16,19,4,39,74.0237769,26.37956081,45.63163329,22,105971,432979
48,1984,25.33641461,1.910363223,44.37754878,3,17,0,10,20,3,33,71.62432661,25.33641461,44.37754878,20,105971,432979
48,1988,25.5491397,0.925905895,16.81054448,3,17,0,10,19,2,31,43.28559007,25.5491397,16.81054448,20,105971,432979
48,1996,26.8709059,1.797737126,17.81675734,2,14,0,10,18,2,30,46.48540037,26.8709059,17.81675734,16,105971,432979
48,2014,16.75065987,0.216649666,18.29167761,1,12,0,8,13,2,23,35.25898715,16.75065987,18.29167761,13,105971,432979
49,1964,15.9946336,0,47.71097493,8,11,0,18,11,13,42,63.70560853,15.9946336,47.71097493,19,105954,432979
49,1984,18.80806726,0,50.77304602,1,17,0,11,17,10,38,69.58111328,18.80806726,50.77304602,18,105954,432979
49,1988,19.36281362,0,54.47073984,1,17,0,11,17,10,38,73.83355347,19.36281362,54.47073984,18,105954,432979
49,1996,20.54383647,0,45.21635401,1,18,0,10,18,9,37,65.76019049,20.54383647,45.21635401,19,105954,432979
49,2014,22.28358101,0.558832794,47.61826318,1,12,0,8,13,8,29,70.46067698,22.28358101,47.61826318,13,105954,432979
50,1964,12.42107195,2.744966581,27.13157955,16,6,0,26,13,6,45,42.29761809,12.42107195,27.13157955,22,105929,432973
50,1984,13.480417,3.687012408,31.47284827,6,6,0,18,13,5,36,48.64027767,13.480417,31.47284827,12,105929,432973
50,1988,13.278982,3.79308043,30.97307978,5,6,0,14,13,4,31,48.04514221,13.278982,30.97307978,11,105929,432973
50,1996,15.54911649,4.27419571,32.25274864,5,7,0,14,14,4,32,52.07606084,15.54911649,32.25274864,12,105929,432973
50,2014,20.97811247,3.968328225,34.13605625,2,7,0,14,14,4,32,59.08249694,20.97811247,34.13605625,9,105929,432973
