Block,Year,Tree_ID,GBH,DBH,Status,Snag,Species,Easting,Northing,In_out
2,1959,29,NA,3,NA,No,A,433051.2,106868.3,In
2,1964,29,NA,3,1,No,A,433051.2,106868.3,In
2,1964,30,NA,1,1,No,A,433050.4,106867,In
2,1959,31,NA,0.5,NA,No,A,433049.6,106867,In
2,1964,31,NA,1,1,No,A,433049.6,106867,In
2,1959,32,NA,2,NA,No,A,433048.9,106866.6,In
2,1964,32,NA,1.5,1,No,A,433048.9,106866.6,In
3,1984,100,NA,5,1,No,I,433040.6,106852.5,In
3,1988,100,19.1,6.1,1,No,I,433040.6,106852.5,In
3,1996,100,22,7,1,No,I,433040.6,106852.5,In
3,2014,100,29,9.230986699,1,No,I,433040.6,106852.5,In
3,1996,101,7,2.2,1,No,I,433040.6,106852.5,In
3,2014,101,35.5,11.30000096,1,No,I,433040.6,106852.5,In
3,1996,102,7,2.2,1,No,I,433040.6,106852.5,In
3,2014,102,47,14.96056465,1,No,I,433040.6,106852.5,In
3,1959,103,NA,0.4,1,No,I,433040.3,106861.4,In
3,1964,104,NA,0.7,1,No,A,433040.3,106860.3,In
3,1959,105,NA,2.25,NA,No,A,433039.9,106864.2,In
3,1964,105,NA,2.7,1,No,A,433039.9,106864.2,In
3,1964,106,NA,0.7,1,No,I,433039.7,106866.4,In
3,1959,107,NA,1.25,1,No,A,433039.3,106864.7,In
3,1964,107,NA,2.1,1,No,A,433039.3,106864.7,In
3,1959,108,NA,3,1,No,I,433039.3,106860.5,In
3,1964,108,NA,3,1,No,I,433039.3,106860.5,In
3,1959,109,NA,2,1,No,A,433039.1,106864,In
3,2014,2273,16,5.092958,1,No,PM,433057.1,106861.5,In
3,2014,2274,21,6.684508,1,No,I,433040.6,106852.5,In
3,1964,34,NA,0.8,1,No,I,433056,106852.6,In
3,1964,35,NA,1,1,No,I,433055.7,106861.5,In
3,1959,36,NA,66.5,1,No,F,433055,106867.5,In
3,1964,36,NA,73,1,No,F,433055,106867.5,In
3,1984,36,265,84.4,1,No,F,433055,106867.5,In
3,1988,36,267,85,1,No,F,433055,106867.5,In
3,1996,36,265,84.4,1,No,F,433055,106867.5,In
3,2014,36,275,87.53522,1,No,F,433055,106867.5,In
3,1964,37,NA,0.6,1,No,I,433054.5,106866.7,In
3,1959,38,NA,0.5,NA,No,A,433052.2,106866.2,In
3,1959,39,NA,1,NA,No,A,433050.5,106849,In
3,1964,39,NA,1.1,1,No,A,433050.5,106849,In
3,1959,40,NA,0.5,1,No,I,433049.6,106865.2,In
3,1964,40,NA,0.8,1,No,I,433049.6,106865.2,In
3,1959,41,NA,60.5,1,No,Q,433048.8,106852.8,In
3,1964,41,NA,62,1,No,Q,433048.8,106852.8,In
3,1984,41,199,63.3,1,No,Q,433048.8,106852.8,In
3,1988,41,199,63.3,1,No,Q,433048.8,106852.8,In
3,1996,41,199,63.3,1,No,Q,433048.8,106852.8,In
3,2014,41,200.5,63.82113,0,Yes,Q,433048.8,106852.8,In
3,1959,42,NA,36,0,No,Q,433048.3,106859.4,In
3,1964,42,NA,40,0,No,Q,433048.3,106859.4,In
3,1964,43,NA,0.5,1,No,I,433048.2,106866.3,In
3,1964,44,NA,0.5,1,No,A,433048.2,106855,In
3,1964,45,NA,0.9,1,No,I,433047.9,106867.6,In
3,1964,46,NA,0.6,1,No,I,433047.9,106852.3,In
3,1964,47,NA,0.7,1,No,F,433046.6,106851.6,In
3,1964,48,NA,0.7,1,No,F,433046.4,106856.4,In
3,1959,49,NA,68,1,No,Q,433046.3,106867.8,In
3,1964,49,NA,69,1,No,Q,433046.3,106867.8,In
3,1984,49,210,66.8,1,No,Q,433046.3,106867.8,In
3,1988,49,214,68.1,1,No,Q,433046.3,106867.8,In
3,1996,49,208,66.2,1,No,Q,433046.3,106867.8,In
3,2014,49,217,69.07325,1,No,Q,433046.3,106867.8,In
3,1964,50,NA,0.5,1,No,F,433046.2,106862.6,In
3,1964,51,NA,0.9,1,No,A,433046.1,106866.3,In
3,1964,52,NA,0.7,1,No,F,433045.8,106856.6,In
3,1964,53,NA,0.9,1,No,F,433045.7,106860.3,In
3,1964,54,NA,0.5,1,No,F,433045.4,106865,In
3,1964,55,NA,0.9,1,No,I,433045.3,106850.5,In
3,1959,56,NA,0.3,NA,No,F,433045.1,106856.7,In
3,1964,56,NA,1,1,No,F,433045.1,106856.7,In
3,1964,57,NA,0.6,1,No,F,433044.9,106853.5,In
3,1964,58,NA,0.9,1,No,I,433044.7,106861.8,In
3,1964,59,NA,0.7,1,No,F,433044.5,106858.2,In
3,1964,60,NA,0.7,1,No,A,433044.3,106850,In
