"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2"
11,1988,24.4,0.0467594650560305,0,0,0,0,0,0,0,0,25,0.0490873852123405,0.0838827255610646,4,433057,106907,"Q",0
11,1996,25.5,0.0510705155749191,0,0,0,0,-1.5,-5.81980039077511,-0.614754098360657,-0.011856,24.4,0.0467594650560305,0.0724945981714968,12,433057,106907,"Q",0
11,2014,27.05634,0.0574947218080528,0,0,0,0,1.375,5.38881314861075,0.53921568627451,0.0115245397742543,25.5,0.0510705155749191,0.0800617849560054,18,433057,106907,"Q",0
12,1964,22,0.0380132711084365,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,433053,106904.5,"Q",0
12,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,22,0.0380132711084365,0.0899515031795366,20,433053,106904.5,"Q",1
12,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433053,106904.5,"Q",1
12,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433053,106904.5,"Q",1
12,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433053,106904.5,"Q",1
13,1964,22,0.0380132711084365,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,433051.3,106901.8,"Q",0
13,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,22,0.0380132711084365,0.0899515031795366,20,433051.3,106901.8,"Q",1
13,1988,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,4,433051.3,106901.8,"Q",1
13,1996,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,12,433051.3,106901.8,"Q",1
13,2014,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,18,433051.3,106901.8,"Q",1
16,1964,75,0.441786466911065,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433065.5,106880.3,"F",0
16,1984,87.5,0.601320468851171,0,0,0,0,NA,NA,NA,NA,75,0.441786466911065,0.541098917349218,20,433065.5,106880.3,"F",0
16,1988,88.8,0.619321009358077,0,0,0,0,6.25,79.7670009700533,0.714285714285714,0.0180555555555555,87.5,0.601320468851171,0.685335729463035,4,433065.5,106880.3,"F",0
16,1996,92,0.6647610054996,0,0,0,0,3.24999999999999,45.0013512672653,0.36599099099099,0.00748375510204083,88.8,0.619321009358077,0.70922224715478,12,433065.5,106880.3,"F",0
16,2014,102.1774735,0.819974225118401,0,0,0,0,4,56.7999951769034,0.434782608695653,0.00917133349565781,92,0.6647610054996,0.767043896118449,18,433065.5,106880.3,"F",0
17,1964,26,0.0530929158456675,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,433064.5,106876.5,"F",0
17,1984,28.6,0.0642424281732577,0,0,0,0,NA,NA,NA,NA,26,0.0530929158456675,0.117370460671204,20,433064.5,106876.5,"F",0
17,1988,30.2,0.0716314540945009,0,0,0,0,1.3,5.57475616379508,0.454545454545455,0.0105,28.6,0.0642424281732577,0.0976673034738303,4,433064.5,106876.5,"F",0
17,1996,30.9,0.0749906020393518,0,0,0,0,3.99999999999999,18.472564803108,1.32450331125828,0.0287544623208959,30.2,0.0716314540945009,0.102216880650762,12,433064.5,106876.5,"F",0
17,2014,34.69577759,0.0945459939217596,0,0,0,0,0.874999999999999,4.19893493106361,0.283171521035598,0.00586185912898557,30.9,0.0749906020393518,0.116488685826864,18,433064.5,106876.5,"F",0
