"ID2","Year","DBH","BA","Dead","Dead2","Dead_cum","Dead3","GR","BAGR","relGR","relBAGR","DBH2","BA2","relSize","SL","Easting","Northing","Species","Dead_cum2","Dead_No","Dead_dist"
422,1984,38.8,0.1182372576,1,1,1,1,NA,NA,NA,NA,43,0.14522046,0.234471364086859,20,433029.7,106605.9,"Q",0,0,NA
450,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,45,0.1590435,0.249656787246804,20,433028.8,106582.2,"Q",1,0,NA
501,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,45,0.1590435,0.249656787246804,20,433036.4,106569.8,"Q",1,0,NA
517,1984,72.6,0.4139654904,0,0,0,0,NA,NA,NA,NA,70.5,0.390363435,0.486217068218029,20,433026.2,106563.8,"Q",0,0,NA
545,1984,22.3,0.0390571566,0,0,0,0,NA,NA,NA,NA,20,0.031416,0.0767667560790688,20,433016.8,106533.5,"Q",0,0,NA
552,1984,34.1,0.0913270974,0,0,0,0,NA,NA,NA,NA,30.5,0.073061835,0.144760061243797,20,433014.4,106533.4,"Q",0,0,NA
562,1984,87.2,0.5972055936,0,0,0,0,NA,NA,NA,NA,89,0.62211534,0.686883352853322,20,433030.8,106524.5,"Q",0,0,NA
593,1984,115.9,1.0550128974,0,0,0,0,NA,NA,NA,NA,120,1.130976,0.910010717502538,20,433030.4,106504.5,"Q",0,0,NA
605,1984,47.7,0.1787012766,0,0,0,0,NA,NA,NA,NA,48,0.18095616,0.29049894290796,20,433024.1,106502.8,"Q",0,0,NA
611,1984,104.4,0.8560357344,0,0,0,0,NA,NA,NA,NA,110,0.950334,0.858276942403587,20,433020.7,106494.3,"Q",0,0,NA
611,1984,104.4,0.8560357344,0,0,0,0,NA,NA,NA,NA,110,0.950334,0.858276942403587,20,433021.4,106494.9,"Q",0,0,NA
635,1984,NA,NA,NA,0,1,1,NA,NA,NA,NA,93,0.67929246,0.719538774861666,20,433025.5,106468,"Q",1,0,NA
679,1984,83.1,0.5423666094,0,0,0,0,NA,NA,NA,NA,80,0.502656,0.603661143894579,20,433016.5,106457.5,"Q",0,0,NA
708,1984,118.1,1.0954452894,0,0,0,0,NA,NA,NA,NA,120,1.130976,0.910010717502538,20,433018.6,106443.8,"Q",0,0,NA
718,1984,81.5,0.521682315,0,0,0,0,NA,NA,NA,NA,77,0.46566366,0.564364984330289,20,433011.2,106447.2,"Q",0,0,NA
722,1984,12.4,0.0120763104,1,1,1,1,NA,NA,NA,NA,NA,NA,0,20,433018,106425,"Q",0,0,NA
723,1984,39.2,0.1206877056,0,0,0,0,NA,NA,NA,NA,NA,NA,0,20,433016,106413.4,"Q",0,0,NA
725,1984,20.4,0.0326852064,1,1,1,1,NA,NA,NA,NA,NA,NA,0,20,433015,106412,"Q",0,0,NA
728,1984,44.6,0.1562286264,0,0,0,0,NA,NA,NA,NA,NA,NA,0,20,433013.5,106413,"Q",0,0,NA
735,1984,29,0.06605214,0,0,0,0,NA,NA,NA,NA,NA,NA,0,20,433008.8,106421.2,"Q",0,0,NA
739,1984,31.8,0.0794227896,0,0,0,0,NA,NA,NA,NA,NA,NA,0,20,433007.8,106423.8,"Q",0,0,NA
740,1984,32.5,0.082957875,0,0,0,0,NA,NA,NA,NA,NA,NA,0,20,433005.5,106410.8,"Q",0,0,NA
744,1984,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,20,433025.4,106386.4,"Q",0,0,NA
754,1984,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,20,433010,106399,"Q",0,0,NA
769,1984,43.9,0.1513630734,1,1,1,1,NA,NA,NA,NA,43,0.14522046,0.234471364086859,20,433010.8,106370.4,"Q",0,0,NA
772,1984,63,0.31172526,0,0,0,0,NA,NA,NA,NA,59,0.27339774,0.371496504785461,20,433009.7,106372.4,"Q",0,0,NA
804,1984,NA,NA,NA,0,0,NA,NA,NA,NA,NA,100,0.7854,0.778805737856399,20,432999.3,106377.6,"Q",0,0,NA
807,1984,95.5,0.716304435,0,0,0,0,NA,NA,NA,NA,86,0.58088184,0.668632662419078,20,433018.5,106365.3,"Q",0,0,NA
816,1984,71.3,0.3992730126,0,0,0,0,NA,NA,NA,NA,72,0.40715136,0.502489507229739,20,433016.8,106348.1,"Q",0,0,NA
825,1984,47.1,0.1742339214,0,0,0,0,NA,NA,NA,NA,44,0.15205344,0.24495320142669,20,433013.9,106356.3,"Q",0,0,NA
847,1984,101.5,0.809138715,0,0,0,0,NA,NA,NA,NA,103,0.83323086,0.79500265872456,20,433007.7,106353.5,"Q",0,0,NA
872,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,47,0.17349486,0.279765243448629,20,433022.8,106347.1,"Q",1,0,NA
889,1984,96.1,0.7253333934,0,0,0,0,NA,NA,NA,NA,90,0.636174,0.699712933872993,20,433018.8,106337,"Q",0,0,NA
898,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,61,0.29224734,0.391422766683517,20,433013.9,106345.6,"Q",1,0,NA
917,1984,NA,NA,NA,0,1,NA,NA,NA,NA,NA,37,0.10752126,0.185260664336146,20,433018.2,106320.4,"Q",1,0,NA
930,1984,79.6,0.4976420064,0,0,0,0,NA,NA,NA,NA,76,0.45364704,0.545654301343389,20,433012,106332.2,"Q",0,0,NA
990,1984,79.6,0.4976420064,0,0,0,0,NA,NA,NA,NA,69,0.37392894,0.466826114554666,20,433004.4,106301.4,"Q",0,0,NA
