Block,Year,F_BA,I_BA,Q_BA,FM,IM,QM,SDM,Northing,Easting
1,1964,0,0,15.38202303,3,0,5,11,106909,433056
1,1984,0,0,17.61746255,0,0,5,8,106909,433056
1,1988,0,0,8.17226424,0,0,4,6,106909,433056
1,1996,0,0,6.909363628,0,0,3,5,106909,433056
1,2014,0,0,7.890305212,0,0,3,5,106909,433056
2,1964,14.64178526,0.502654825,12.88249338,3,1,1,12,106885,433058
2,1984,21.42328607,0.316692174,13.98668465,4,2,1,9,106885,433058
2,1988,22.11410266,0.259672268,14.08629278,4,2,1,9,106885,433058
2,1996,23.24083486,0.352565236,13.98668465,4,3,1,8,106885,433058
2,2014,30.09281743,1.204006631,14.71864946,4,3,1,8,106885,433058
3,1964,10.46346703,1.3685563,37.03937739,23,22,5,67,106868,433049
3,1984,13.98668465,0.541060795,38.46760431,1,3,5,9,106868,433049
3,1988,14.18625433,0,38.19137978,1,2,5,8,106868,433049
3,1996,13.98668465,0.204282062,29.39466509,1,4,4,9,106868,433049
3,2014,15.04511616,0.933891539,17.32580801,1,5,2,9,106868,433049
4,1964,37.46741938,1.941896959,33.77801151,7,8,5,30,106848,433053
4,1984,42.4273855,0.560793924,25.96512584,4,3,3,10,106848,433053
4,1988,42.04676192,0,23.11623144,4,2,2,8,106848,433053
4,1996,32.93154864,0,24.63326727,3,1,2,6,106848,433053
4,2014,4.718148288,0,29.76913633,1,0,2,3,106848,433053
5,1964,14.17250986,0,12.88249338,2,5,1,13,106828,433045
5,1984,16.80801157,0,14.18625433,2,0,1,3,106828,433045
5,1988,16.72572148,0,14.08629278,2,0,1,3,106828,433045
5,1996,7.330140694,0,0,1,0,0,1,106828,433045
5,2014,8.607099323,0,0,1,0,0,1,106828,433045
6,1964,37.16504109,0,0,7,21,0,30,106804,433046
6,1984,41.80008799,0,0,5,0,0,5,106804,433046
6,1988,41.9374934,0,0,5,0,0,5,106804,433046
6,1996,43.68633949,0,0,5,0,0,5,106804,433046
6,2014,47.67252562,0,0,5,1,0,6,106804,433046
7,1964,38.19194919,0,7.793113276,3,5,1,9,106786,433045
7,1984,7.1157859,0,0,1,0,0,1,106786,433045
7,1988,6.673704909,0,0,1,0,0,1,106786,433045
8,1964,36.58384645,1.498146997,23.50893053,2,7,3,12,106773,433044
