"Year_1","Year_2","No_T1","Died","Prop_died","Increased","Prop_inc","No_increase","Prop_no_inc","Mort"
1996,2014,0,0,NA,0,NA,0,NA,NA
1988,1996,0,0,NA,0,NA,0,NA,NA
1984,1988,0,0,NA,0,NA,0,NA,NA
1964,1984,1,0,0,1,1,0,0,0
