"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",4.74021415297848,0.379629978266735,0.386326318300049,12.2699747038639,0
"F_BA",0.0174108706003932,0.0549181925707777,0.0555631194663121,0.313353007671742,0.7540125
"I(F_BA^2)",-0.00117006097302878,0.00183746551712938,0.00185597757826894,0.630428398881889,0.5284143
"FM",-0.000881807764548463,0.0566901749849725,0.057565180977326,0.0153184225182197,0.9877781
"I(FM^2)",-0.000930201591119412,0.00578300934023452,0.00585546078134113,0.158860527950861,0.8737788
