"","Estimate","Std. Error","Adjusted SE","Lower CI","Upper CI"
"(Intercept)",-5.12492966388752,0.155516345708054,0.155696968934817,-5.43009011550181,-4.81976921227322
"DBH2",0.211161678900134,0.0513815367565765,0.0514421339951851,0.110336948981688,0.31198640881858
"Dead_dist",-0.238972708941225,0.0629382419050334,0.0630117167881006,-0.36247340444994,-0.11547201343251
"GR",-0.586355383621945,0.0595454867700069,0.0596028749680581,-0.703174871934382,-0.469535895309507
"Sand",-0.272780767326487,0.0075796855427015,0.0075807340578756,-0.2876387330563,-0.257922801596675
