"Year_1","Year_2","No_T1","Died","Prop_died","Increased","Prop_inc","No_increase","Prop_no_inc","Mort"
1996,2014,23,2,0.09,14,0.61,7,0.3,0.00504123777070564
1988,1996,40,6,0.15,13,0.32,21,0.52,0.0201099095285289
1984,1988,56,6,0.11,11,0.2,39,0.7,0.027934579093018
1964,1984,179,101,0.56,25,0.14,53,0.3,0.0406831370838812
